"sample","species","nReads","totalReads","propReads","eDNA_index","log_index"
"CP_201706","Hematodinium sp.",37,237882,0.000155539300997974,0.0331189435709939,-3.40764984698485
"CP_201706","Heterocapsa rotundata",1130,237882,0.00475025432777596,0.146548516370728,-1.92039873558356
"CP_201706","Lacuna vincta",212,237882,0.000891198157069471,0.0317629956401092,-3.44945332588903
"CP_201706","Laminariocolax aecidioides",9,237882,3.78338840265342e-05,0.0301516691892566,-3.50151499451366
"CP_201706","Leathesia marina",8,237882,3.3630119134697e-05,0.0186287720015991,-3.98304801164585
"CP_201706","Mazzaella splendens",103,237882,0.000432987783859224,0.0487464284762471,-3.02112334624777
"CP_201706","Membranipora membranacea",23,237882,9.6686592512254e-05,0.00603257947063038,-5.1105805868046
"CP_201706","Micromonas pusilla",12485,237882,0.0524840046745866,0.190547170244375,-1.65785550223501
"CP_201706","Minutocellus polymorphus",3740,237882,0.0157220806954709,0.0530668617647957,-2.93620261777444
"CP_201706","Naineris dendritica CMC02",30,237882,0.000126112946755114,0.170512991435129,-1.76894378906088
"CP_201706","Nanomia bijuga",2,237882,8.40752978367426e-06,0.000755926466226907,-7.1875664534111
"CP_201706","Navicula cryptocephala",7,237882,2.94263542428599e-05,0.0114998001919257,-4.46542561837903
"CP_201706","Navicula glaciei",45,237882,0.000189169420132671,0.361199826228706,-1.01832393853381
"CP_201706","Navicula sp. BOLD:AAO6951",459,237882,0.00192952808535324,0.609655104742139,-0.494861883776868
"CP_201706","Neorhodomela oregona",751,237882,0.00315702743376968,1,0
"CP_201706","Nereocystis luetkeana",60,237882,0.000252225893510228,0.0140885085773728,-4.26239580839916
"CP_201706","Nicolea zostericola",117,237882,0.000491840492344944,0.228469541514929,-1.47635237506045
"CP_201706","Nitzschia cf. promare",115,237882,0.00048343296256127,0.0200377171713983,-3.910138922857
"CP_201706","Notheia anomala",19,237882,7.98715329449055e-05,1,0
"CP_201706","Odonthalia floccosa",6,237882,2.52225893510228e-05,0.00209217283408679,-6.16955211951574
"CP_201706","Orthocladius sp. BOLD-2016",993,237882,0.00417433853759427,0.302664454133223,-1.1951304992082
"CP_201706","Orthopyxis integra",85,237882,0.000357320015806156,0.00589474033060423,-5.13369479505473
"CP_201706","Paramoeba pemaquidensis",7,237882,2.94263542428599e-05,0.0375837690364246,-3.28118299634775
"CP_201706","Pedospumella sinomuralis",5,237882,2.10188244591856e-05,0.00884628812025589,-4.72775732938409
"CP_201706","Phaeocystis antarctica",3352,237882,0.0140910199174381,0.0610787295163176,-2.79559159917028
"CP_201706","Phaeocystis globosa",21,237882,8.82790627285797e-05,0.034294331631951,-3.37277519701064
"CP_201706","Phytophthora taxon paludosa",4,237882,1.68150595673485e-05,0.0580153185192659,-2.84704819090612
"CP_201706","Pinnularia sp. 5 CS-2011",15,237882,6.30564733775569e-05,0.00279686291459035,-5.87925687755071
"CP_201706","Platynereis bicanaliculata",3425,237882,0.0143978947545422,1,0
"CP_201706","Polysiphonia hendryi",59,237882,0.000248022128618391,0.0455275721895055,-3.08943715437136
"CP_201706","Poteriospumella lacustris",38,237882,0.000159743065889811,0.0215578205433523,-3.83701662602175
"CP_201706","Pseudo-nitzschia delicatissima",140,237882,0.000588527084857198,0.0414343863749533,-3.18364415413185
"CP_201706","Pseudo-nitzschia hasleana",555,237882,0.00233308951496961,0.572610255670905,-0.557549975771383
"CP_201706","Pseudocalanus newmani",6,237882,2.52225893510228e-05,0.000272314828206192,-8.20855170436437
"CP_201706","Pterosiphonia bipinnata",12,237882,5.04451787020456e-05,0.0174613300869711,-4.04776655237874
"CP_201706","Pyramimonas parkeae",128,237882,0.000538081906155153,0.310120962672278,-1.17079285544337
"CP_201706","Pyropia fallax",49,237882,0.000205984479700019,0.0301731297216454,-3.50080349497511
"CP_201706","Pythium pachycaule",23,237882,9.6686592512254e-05,0.0496495620240374,-3.00276570979799
"CP_201706","Pythium tracheiphilum",44,237882,0.000184965655240834,0.0226798987675216,-3.7862762636457
"CP_201706","Ralfsioid sp. 4GWS",85,237882,0.000357320015806156,0.0343125101136032,-3.37224526496261
"CP_201706","Rhizosolenia setigera",10444,237882,0.043904120530347,0.416847105767689,-0.8750357772522
"CP_201706","Rhodomonas salina",8,237882,3.3630119134697e-05,1,0
"CP_201706","Salispina spinosa",8,237882,3.3630119134697e-05,0.252050066474317,-1.37812753471889
"CP_201706","Sarcodiotheca sp. 2gaudichaudii",20,237882,8.40752978367426e-05,0.0405678903352645,-3.20477840372556
"CP_201706","Schizobranchia insignis",13,237882,5.46489435938827e-05,0.0837744702760443,-2.4796269685534
"CP_201706","Scopalina ruetzleri",65,237882,0.000273244717969413,0.160388866491052,-1.83015399686244
"CP_201706","Semibalanus cariosus",18,237882,7.56677680530683e-05,0.00213862639137588,-6.147591529226
"CP_201706","Skeletonema cf. pseudocostatum",28,237882,0.00011770541697144,0.222644266027439,-1.50218000084747
"CP_201706","Skeletonema dohrnii",8,237882,3.3630119134697e-05,0.000607989608626653,-7.40535276721875
"CP_201706","Skeletonema japonicum",339,237882,0.00142507629833279,0.0225268550396315,-3.79304712417808
"CP_201706","Smithora naiadum",1361,237882,0.00572132401779033,0.21682519366236,-1.52866380923845
"CP_201706","Strongylocentrotus droebachiensis",20,237882,8.40752978367426e-05,0.0132084324640596,-4.32689983031557
"CP_201706","Synchaeta pectinata",16,237882,6.72602382693941e-05,0.0546928516820114,-2.90602226032401
"CP_201706","Thalassionema nitzschioides",107,237882,0.000449802843426573,0.0122353553845104,-4.4034255359617
"CP_201706","Thalassiosira nordenskioeldii",3945,237882,0.0165838524982975,0.193157376701106,-1.64424999903243
"CP_201706","Thecamonas trahens",381,237882,0.00160163442378995,1,0
"CP_201706","Thelepus crispus",181,237882,0.00076088144542252,0.0446023854839413,-3.10996793519943
"CP_201706","Triparma laevis",81,237882,0.000340504956238807,0.00399875568712547,-5.52177204447575
"CP_201706","Wildemania amplissima",17,237882,7.14640031612312e-05,0.000614135649779762,-7.39529472623806
"CP_201706","Wildemania sp. 5POR",226,237882,0.000950050865555191,0.0110842870966264,-4.50222675041985
"CP_201706","Wildemania sp. HK-2011",16,237882,6.72602382693941e-05,0.0923706462843863,-2.38194603171068
"CP_201706",NA,152651,237882,0.64170891450383,0.715632586728655,-0.334588390753503
"CP_201707","Acartia longiremis",10770,297591,0.0361906106031432,0.379864935255677,-0.967939522980868
"CP_201707","Acrochaetium arcuatum",114,297591,0.000383076101091767,0.500774645820302,-0.691599087833484
"CP_201707","Aequorea sp. MW-2012",31,297591,0.000104169816963551,0.0029576766109802,-5.82335124758692
"CP_201707","Ammodytes hexapterus",1799,297591,0.00604520970056218,1,0
"CP_201707","Asterionellopsis glacialis",5,297591,1.68015833812178e-05,0.0107820729495053,-4.52987043611529
"CP_201707","Asterionellopsis tropicalis",4,297591,1.34412667049743e-05,0.040905860728315,-3.19648193210817
"CP_201707","Attheya longicornis",122,297591,0.000409958634501715,0.0142938039898356,-4.24792912303648
"CP_201707","Azumapecten farreri",26,297591,8.73682335823328e-05,0.105850101510749,-2.24573132239606
"CP_201707","Balanus balanus",6040,297591,0.0202963127245112,0.311128332581777,-1.16754980695994
"CP_201707","Bathycoccus prasinos",189,297591,0.000635099851810035,0.00141672866857592,-6.55940481961803
"CP_201707","Blastocladiella emersonii",18,297591,6.04857001723842e-05,0.0258611413599703,-3.65501377049599
"CP_201707","Centropages abdominalis",6594,297591,0.0221579281631501,0.0665743869350054,-2.70943535596134
"CP_201707","Chaetoceros socialis",936,297591,0.00314525640896398,0.00807625465894616,-4.81882704622209
"CP_201707","Chaetoceros sp. MBTD-CMFRI-S045",276,297591,0.000927447402643225,0.456776486616099,-0.783561096098059
"CP_201707","Chaetoceros sp. MBTD-CMFRI-S062",32,297591,0.000107530133639794,0.00609763145168268,-5.09985486981503
"CP_201707","Chattonella subsalsa",1186,297591,0.00398533557802487,0.0946691904048962,-2.35736667063774
"CP_201707","Chondracanthus exasperatus",31,297591,0.000104169816963551,0.0415665902910246,-3.18045855239117
"CP_201707","Chrysochromulina sp. CCMP291",449,297591,0.00150878218763336,0.427628525866124,-0.84950039048919
"CP_201707","Chrysonoma sp. ANIC15",6,297591,2.01619000574614e-05,0.0694261486904018,-2.66749170015155
"CP_201707","Cliona chilensis",140,297591,0.0004704443346741,0.00490129613415812,-5.31825559166893
"CP_201707","Clytia gracilis",1082,297591,0.00363586264369554,0.322763259693081,-1.13083616661956
"CP_201707","Corallina vancouveriensis",135,297591,0.000453642751292882,0.0118972860660916,-4.43144496654764
"CP_201707","Coscinodiscus wailesii",12800,297591,0.0430120534559177,0.207341187925076,-1.57338959174564
"CP_201707","Cylindrotheca closterium",289,297591,0.000971131519434392,0.0244223149326722,-3.71225801820477
"CP_201707","Dictyocha speculum",617,297591,0.00207331538924228,0.0995019699614593,-2.30757783640595
"CP_201707","Ditylum brightwellii",712,297591,0.00239254547348542,0.156419396919159,-1.85521443733868
"CP_201707","Dodecaceria sp. CMC01",23,297591,7.72872835536021e-05,0.0594992025446536,-2.82179236913123
"CP_201707","Dolichomastix tenuilepis",38,297591,0.000127692033697256,0.437037186384445,-0.827736992805649
"CP_201707","Egregia menziesii",105,297591,0.000352833251005575,1,0
"CP_201707","Enophrys bison",423,297591,0.00142141395405103,0.337530803060184,-1.08609850450778
"CP_201707","Eucampia zodiacus",8,297591,2.68825334099486e-05,0.246343593602079,-1.40102799559891
"CP_201707","Euclymene oerstedi",1379,297591,0.00463387669653988,1,0
"CP_201707","Grammonema striatula",200,297591,0.000672063335248714,0.0242695583086559,-3.71853245847574
"CP_201707","Halichondria panicea",14,297591,4.704443346741e-05,0.000875899219787356,-7.04025951955102
"CP_201707","Hecatonema maculans",171,297591,0.00057461415163765,0.0311050369862132,-3.47038551193973
"CP_201707","Heterocapsa rotundata",45,297591,0.000151214250430961,0.00466506054743057,-5.36765446568226
"CP_201707","Lacuna vincta",5220,297591,0.0175408530499914,0.625169648894643,-0.469732227846998
"CP_201707","Laminariocolax aecidioides",52,297591,0.000174736467164666,0.139256021125226,-1.97144116143109
"CP_201707","Leathesia marina",189,297591,0.000635099851810035,0.351801618371671,-1.04468784642868
"CP_201707","Mazzaella splendens",21,297591,7.0566650201115e-05,0.00794450165817009,-4.83527520491662
"CP_201707","Membranipora membranacea",316,297591,0.00106186006969297,0.0662527770466218,-2.71427789730947
"CP_201707","Micromonas pusilla",2658,297591,0.00893172172545541,0.0324272949586834,-3.42875477383833
"CP_201707","Minutocellus polymorphus",4651,297591,0.0156288328612088,0.0527521216215222,-2.94215128712156
"CP_201707","Naineris dendritica CMC02",200,297591,0.000672063335248714,0.908673793418292,-0.0957691123376308
"CP_201707","Neorhodomela oregona",8,297591,2.68825334099486e-05,0.00851514089563966,-4.76590941824693
"CP_201707","Nereocystis luetkeana",821,297591,0.00275881999119597,0.154098608071006,-1.87016256933147
"CP_201707","Nicolea zostericola",570,297591,0.00191538050545883,0.889731757998293,-0.116835257192242
"CP_201707","Nitzschia cf. promare",292,297591,0.000981212469463122,0.0406700814193229,-3.2022625571146
"CP_201707","Orthopyxis integra",18039,297591,0.0606167525227577,1,0
"CP_201707","Paracalanus sp. C AC-2013",40,297591,0.000134412667049743,0.00685154209958387,-4.98328152801777
"CP_201707","Paramoeba pemaquidensis",233,297591,0.000782953785564752,1,0
"CP_201707","Phaeocystis antarctica",1111,297591,0.00373331182730661,0.0161823590227093,-4.12383357929525
"CP_201707","Phaeocystis globosa",107,297591,0.000359553884358062,0.139678195130402,-1.9684141084348
"CP_201707","Platichthys stellatus",1040,297591,0.00349472934329331,1,0
"CP_201707","Platynereis bicanaliculata",153,297591,0.000514128451465266,0.035708585194587,-3.33236413746653
"CP_201707","Poteriospumella lacustris",93,297591,0.000312509450890652,0.0421741164342581,-3.16594860075751
"CP_201707","Protoperidinium cf. depressum",644,297591,0.00216404393950086,0.277758595809187,-1.28100290293341
"CP_201707","Pseudo-nitzschia hasleana",30,297591,0.000100809500287307,0.0247416798040529,-3.6992660160183
"CP_201707","Pseudocalanus newmani",9340,297591,0.0313853577561149,0.338850947719995,-1.08219495053217
"CP_201707","Pseudochattonella farcimen",100,297591,0.000336031667624357,0.00766783480243844,-4.8707209977921
"CP_201707","Pyropia fallax",4,297591,1.34412667049743e-05,0.00196891088349499,-6.23027474012848
"CP_201707","Pyropia nereocystis",5,297591,1.68015833812178e-05,0.00505925671434109,-5.2865357008718
"CP_201707","Pythium pachycaule",60,297591,0.000201619000574614,0.103533435341462,-2.26786067166768
"CP_201707","Pythium tracheiphilum",2427,297591,0.00815548857324314,1,0
"CP_201707","Rhizosolenia setigera",4453,297591,0.0149634901593126,0.142070664205227,-1.95143070991215
"CP_201707","Skeletonema cf. pseudocostatum",10,297591,3.36031667624357e-05,0.063561666000771,-2.75574472619126
"CP_201707","Skeletonema dohrnii",157,297591,0.00052756971817024,0.00953778680321905,-4.65249381171291
"CP_201707","Skeletonema japonicum",63,297591,0.000211699950603345,0.00334644124298322,-5.69985781332963
"CP_201707","Smithora naiadum",3915,297591,0.0131556397874936,0.498568886468557,-0.696013511627644
"CP_201707","Stephanopyxis turris",88,297591,0.000295707867509434,0.455952798951287,-0.78536598589713
"CP_201707","Thalassionema nitzschioides",2,297591,6.72063335248714e-06,0.000182811955678749,-8.6070524980263
"CP_201707","Thalassiosira nordenskioeldii",1523,297591,0.00511776229791896,0.0596081965964987,-2.81996218757988
"CP_201707","Thecamonas trahens",40,297591,0.000134412667049743,0.0839221891420654,-2.4778652291754
"CP_201707","Thelepus sp. CMC01",8545,297591,0.0287139059985013,1,0
"CP_201707","Tresus capax",211,297591,0.000709026818687393,1,0
"CP_201707","Triparma laevis",510,297591,0.00171376150488422,0.020125738079496,-3.90575578159245
"CP_201707","Wildemania amplissima",18,297591,6.04857001723842e-05,0.000519792106998881,-7.56208162056074
"CP_201707","Wildemania sp. 5POR",215,297591,0.000722468085392367,0.00842906834462935,-4.77606902972711
"CP_201707",NA,182608,297591,0.613620707615486,0.684308670701063,-0.379346190197833
"CP_201708","Acartia californiensis",79,328953,0.000240155888531188,0.0168100983137904,-4.08577548304865
"CP_201708","Acartia longiremis",8443,328953,0.0256662805932762,0.269399157774148,-1.31156114131311
"CP_201708","Aequorea sp. MW-2012",17,328953,5.16791152535469e-05,0.00146731668459251,-6.52431993086715
"CP_201708","Arca avellana",71,328953,0.00021583630488246,1,0
"CP_201708","Asterionellopsis glacialis",160,328953,0.000486391672974559,0.312131921203695,-1.16432935616687
"CP_201708","Asterionellopsis guyunusae",17,328953,5.16791152535469e-05,0.0165235162083116,-4.10297068799826
"CP_201708","Asterionellopsis tropicalis",19,328953,5.77590111657288e-05,0.175778229716707,-1.73853213691292
"CP_201708","Attheya longicornis",239,328953,0.000726547561505747,0.0253321373413168,-3.67568143868953
"CP_201708","Azumapecten farreri",12,328953,3.64793754730919e-05,0.0441962191353763,-3.11911603348085
"CP_201708","Bathycoccus prasinos",2623,328953,0.00797378348882667,0.0177872623233064,-4.02927267766211
"CP_201708","Blastocladiella emersonii",86,328953,0.000261435524223825,0.111778834157518,-2.19123305498995
"CP_201708","Bougainvillia muscus",81,328953,0.00024623578444337,0.0387156586535727,-3.25151114441014
"CP_201708","Brachionidae sp. SHYT150702c",19,328953,5.77590111657288e-05,0.0107865716118298,-4.52945328775189
"CP_201708","Calanus pacificus",91,328953,0.00027663526400428,0.00471844738221652,-5.35627547794442
"CP_201708","Centropages abdominalis",3,328953,9.11984386827298e-06,2.74009379398099e-05,-10.5049333137762
"CP_201708","Chaetoceros socialis",1253,328953,0.00380905478898201,0.00978072770093494,-4.62734139065492
"CP_201708","Chaetoceros sp. MBTD-CMFRI-S062",5801,328953,0.0176347380932838,1,0
"CP_201708","Chattonella subsalsa",129,328953,0.000392153286335738,0.0093153596241004,-4.67609066868504
"CP_201708","Chondracanthus exasperatus",58,328953,0.000176316981453278,0.0703552712584968,-2.65419756918121
"CP_201708","Chrysochromulina sp. CCMP291",97,328953,0.000294874951740826,0.0835753112419536,-2.48200712257937
"CP_201708","Compsomyax subdiaphana",4,328953,1.2159791824364e-05,0.000743863842989446,-7.20365254661357
"CP_201708","Coryne eximia",98,328953,0.000297914899696917,0.381922107378579,-0.962538598553418
"CP_201708","Coscinodiscus wailesii",152,328953,0.000462072089325831,0.00222743552585858,-6.10690434365838
"CP_201708","Cylindrotheca closterium",26,328953,7.90386468583658e-05,0.00198768826549006,-6.22078299114702
"CP_201708","Dictyocha speculum",2051,328953,0.00623493325794262,0.299225166109551,-1.20655892509026
"CP_201708","Emiliania huxleyi",48,328953,0.000145917501892368,0.000304453978532875,-8.09699062005986
"CP_201708","Eucampia zodiacus",30,328953,9.11984386827298e-05,0.835715547095288,-0.179466978467898
"CP_201708","Glycera sp. CMC03",13520,328953,0.0411000963663502,1,0
"CP_201708","Heterocapsa rotundata",122,328953,0.000370873650643101,0.0114416996464669,-4.47049073357063
"CP_201708","Hincksia hincksiae",3,328953,9.11984386827298e-06,0.000779124721349497,-7.15733942048076
"CP_201708","Loxothylacus panopaei",73,328953,0.000221916200794642,0.0113167932767436,-4.48146752577791
"CP_201708","Macoma nasuta",556,328953,0.00169021106358659,0.302700412654391,-1.19501169970997
"CP_201708","Mazzaella splendens",51,328953,0.000155037345760641,0.0174543420576628,-4.04816683276703
"CP_201708","Membranipora membranacea",163,328953,0.000495511516842832,0.0309165162024728,-3.47646473294092
"CP_201708","Micromonas pusilla",7093,328953,0.0215623508525534,0.0782837545314048,-2.54741517476074
"CP_201708","Minutocellus polymorphus",13626,328953,0.0414223308496959,0.139813116835717,-1.96744862786335
"CP_201708","Muggiaea atlantica",58,328953,0.000176316981453278,0.139848490079564,-1.96719565610633
"CP_201708","Mytilus trossulus",171,328953,0.00051983110049156,0.029661958595975,-3.51788990952421
"CP_201708","Paracalanus sp. C AC-2013",168,328953,0.000510711256623287,0.0260329606746876,-3.64839182557975
"CP_201708","Phaeocystis antarctica",29959,328953,0.09107380081653,0.394767169352436,-0.929459132549202
"CP_201708","Phaeocystis globosa",145,328953,0.000440792453633194,0.171237461279301,-1.76470402332743
"CP_201708","Poteriospumella lacustris",14,328953,4.25592713852739e-05,0.00574350523366338,-5.15968558714682
"CP_201708","Proboscidactyla flavicirrata",2,328953,6.07989591218198e-06,0.0915470555715515,-2.39090217034986
"CP_201708","Protoperidinium cf. depressum",181,328953,0.000550230580052469,0.0706229991438616,-2.65039942062324
"CP_201708","Pseudo-nitzschia delicatissima",58,328953,0.000176316981453278,0.0124133385225138,-4.38898369720867
"CP_201708","Pseudo-nitzschia hasleana",1060,328953,0.00322234483345645,0.790860225082,-0.234634033425646
"CP_201708","Pseudocalanus moultoni",4,328953,1.2159791824364e-05,0.0129951608164029,-4.34317823571301
"CP_201708","Pseudocalanus newmani",25189,328953,0.076573249065976,0.826720479582547,-0.190288634340679
"CP_201708","Pseudochattonella farcimen",20,328953,6.07989591218198e-05,0.00138735845345229,-6.5803537330775
"CP_201708","Pycnococcus provasolii",83,328953,0.000252315680355552,0.00672739467637615,-5.00156733117121
"CP_201708","Pythium sp. CAL-2011c",3,328953,9.11984386827298e-06,0.0100765339762248,-4.59754592703442
"CP_201708","Pythium tracheiphilum",553,328953,0.00168109121971832,0.20613004415624,-1.57924802705557
"CP_201708","Rhizosolenia setigera",2301,328953,0.00699492024696537,0.0664131800113814,-2.7118597480498
"CP_201708","Saxidomus gigantea",24,328953,7.29587509461838e-05,0.0026358500217569,-5.93854956010738
"CP_201708","Sellaphora bacillum",362,328953,0.00110046116010494,0.633687222799625,-0.456199785709615
"CP_201708","Skeletonema dohrnii",36,328953,0.000109438126419276,0.00197850157425822,-6.22541550145641
"CP_201708","Stephanopyxis turris",3,328953,9.11984386827298e-06,0.0140619131062015,-4.26428533455853
"CP_201708","Styela gibbsii",14417,328953,0.0438269296829638,1,0
"CP_201708","Thalassiosira nordenskioeldii",7770,328953,0.023620395618827,0.275114220585556,-1.29056891996466
"CP_201708","Thalassiosira punctigera",18,328953,5.47190632096379e-05,0.00413216527468228,-5.48895372981163
"CP_201708","Triparma laevis",145,328953,0.000440792453633194,0.00517649243722472,-5.26362758774155
"CP_201708",NA,189295,328953,0.575446948348244,0.641737365437686,-0.443576147094835
"CP_201709","Anisolpidium ectocarpii",76,308957,0.000245988924025026,1,0
"CP_201709","Attheya longicornis",12,308957,3.88403564250041e-05,0.00135422551182304,-6.60452556605382
"CP_201709","Azumapecten farreri",98,308957,0.000317196244137534,0.384295907838703,-0.956342429819054
"CP_201709","Bathycoccus prasinos",113421,308957,0.367109338840033,0.818917408584427,-0.199772044433446
"CP_201709","Blastocladiella emersonii",47,308957,0.000152124729331266,0.0650421358828758,-2.73271997475418
"CP_201709","Bougainvillia muscus",1965,308957,0.00636010836459443,1,0
"CP_201709","Campanularia volubilis",65,308957,0.000210385263968772,1,0
"CP_201709","Chattonella subsalsa",27,308957,8.73908019562593e-05,0.00207591463957318,-6.17735343226317
"CP_201709","Chondracanthus exasperatus",10,308957,3.23669636875034e-05,0.0129152988627568,-4.34934271195436
"CP_201709","Chrysochromulina sp. CCMP291",111,308957,0.000359273296931288,0.101827494789541,-2.28447512499119
"CP_201709","Coryne eximia",164,308957,0.000530818204475056,0.680500396234881,-0.384926874620571
"CP_201709","Coscinodiscus wailesii",474,308957,0.00153419407878766,0.0073956390649767,-4.90686476803036
"CP_201709","Cylindrotheca closterium",84,308957,0.000271882494975029,0.00683738482798714,-4.98534995554597
"CP_201709","Dendraster excentricus",4,308957,1.29467854750014e-05,4.96488526867113e-05,-9.91053527576201
"CP_201709","Dictyocha speculum",188,308957,0.000608498917325065,0.0292029091702188,-3.53348694555347
"CP_201709","Dolichomastix tenuilepis",28,308957,9.06274983250096e-05,0.3101805627979,-1.17060069042891
"CP_201709","Emiliania huxleyi",801,308957,0.00259259379136903,0.00540939561235195,-5.21961790912017
"CP_201709","Eunice valens",841,308957,0.00272206164611904,0.499826899867469,-0.693493440766153
"CP_201709","Halichondria panicea",48,308957,0.000155361425700017,0.00289260474674365,-5.84559788633047
"CP_201709","Heterocapsa rotundata",4451,308957,0.0144065355373078,0.444451236366348,-0.810914934508811
"CP_201709","Homo sapiens",48,308957,0.000155361425700017,0.00809539175455018,-4.81646029839101
"CP_201709","Mazzaella rosea",9,308957,2.91302673187531e-05,0.0503706017342219,-2.98834757301398
"CP_201709","Mazzaella splendens",236,308957,0.000763860343025081,0.0859965684140871,-2.45344788568652
"CP_201709","Membranipora membranacea",38,308957,0.000122994462012513,0.00767400988346835,-4.86991599924208
"CP_201709","Micromonas pusilla",37595,308957,0.121683599983169,0.441781563463059,-0.816939719371481
"CP_201709","Minutocellus polymorphus",23857,308957,0.077217865269277,0.260634063734184,-1.34463791011604
"CP_201709","Navicula cryptocephala",3,308957,9.71008910625103e-06,0.00379469653787559,-5.57415083500096
"CP_201709","Navicula ramosissima",13,308957,4.20770527937545e-05,0.0428551364332301,-3.14992977103514
"CP_201709","Nitzschia cf. promare",29,308957,9.386419469376e-05,0.00389055842578433,-5.5492025774685
"CP_201709","Orthopyxis integra",16,308957,5.17871419000055e-05,0.000854337122077972,-7.06518468553998
"CP_201709","Paracalanus sp. C AC-2013",25,308957,8.09174092187586e-05,0.00412467848470269,-5.49076720533559
"CP_201709","Pedospumella sinomuralis",16,308957,5.17871419000055e-05,0.0217958896351035,-3.82603387581313
"CP_201709","Phacellophora camtschatica",30,308957,9.71008910625103e-05,0.00284955455671789,-5.86059259280551
"CP_201709","Phaeocystis antarctica",1676,308957,0.00542470311402558,0.0235138390371486,-3.75016613596494
"CP_201709","Phaeocystis globosa",330,308957,0.00106810980168761,0.41493544025308,-0.87963233650826
"CP_201709","Plumularia lagenifera",33,308957,0.000106810980168761,1,0
"CP_201709","Polyneura latissima",103,308957,0.000333379725981285,1,0
"CP_201709","Polysiphonia hendryi",22,308957,7.12073201125076e-05,0.0130709966280123,-4.33735950115349
"CP_201709","Poteriospumella lacustris",2,308957,6.47339273750069e-06,0.000873604360629597,-7.04288296142291
"CP_201709","Protoperidinium cf. depressum",49,308957,0.000158598122068767,0.0203563295918822,-3.89436337899922
"CP_201709","Pseudocalanus newmani",3014,308957,0.00975540285541354,0.105323875185178,-2.2507151506407
"CP_201709","Pseudochattonella farcimen",95,308957,0.000307486155031283,0.00701646085169727,-4.95949634025173
"CP_201709","Pycnococcus provasolii",690,308957,0.00223332049443774,0.0595461541817393,-2.82100356659729
"CP_201709","Pythium tracheiphilum",511,308957,0.00165395184443143,0.20280230050935,-1.59552366359498
"CP_201709","Ralfsioid sp. 4GWS",15,308957,4.85504455312552e-05,0.00466217278523481,-5.36827367658544
"CP_201709","Rhizosolenia setigera",33,308957,0.000106810980168761,0.00101411547275575,-6.89373850183946
"CP_201709","Saprolegnia diclina",3,308957,9.71008910625103e-06,0.000297201899642209,-8.12109885334362
