"","sample","species","nReads"
"256","CP_201709","Micromonas pusilla",37595
"257","CP_201709","Minutocellus polymorphus",23857
"258","CP_201709","Navicula cryptocephala",3
"259","CP_201709","Navicula ramosissima",13
"260","CP_201709","Nitzschia cf. promare",29
"261","CP_201709","Orthopyxis integra",16
"262","CP_201709","Paracalanus sp. C AC-2013",25
"263","CP_201709","Pedospumella sinomuralis",16
"264","CP_201709","Phacellophora camtschatica",30
"265","CP_201709","Phaeocystis antarctica",1676
"266","CP_201709","Phaeocystis globosa",330
"267","CP_201709","Plumularia lagenifera",33
"268","CP_201709","Polyneura latissima",103
"269","CP_201709","Polysiphonia hendryi",22
"270","CP_201709","Poteriospumella lacustris",2
"271","CP_201709","Protoperidinium cf. depressum",49
"272","CP_201709","Pseudocalanus newmani",3014
"273","CP_201709","Pseudochattonella farcimen",95
"274","CP_201709","Pycnococcus provasolii",690
"275","CP_201709","Pythium tracheiphilum",511
"276","CP_201709","Ralfsioid sp. 4GWS",15
"277","CP_201709","Rhizosolenia setigera",33
"278","CP_201709","Saprolegnia diclina",3
"279","CP_201709","Sarcodiotheca sp. 2gaudichaudii",43
"280","CP_201709","Skeletonema cf. pseudocostatum",6
"281","CP_201709","Skeletonema dohrnii",2
"282","CP_201709","Stelligera rigida",97
"283","CP_201709","Thalassiosira nordenskioeldii",7547
"284","CP_201709","Thelepus cincinnatus",35
"285","CP_201709",NA,109821
"286","CP_201710","Amathia vidovici",7
"287","CP_201710","Ammodytes hexapterus",289
"288","CP_201710","Attheya longicornis",15
"289","CP_201710","Balanus glandula",90
"290","CP_201710","Bathycoccus prasinos",46110
"291","CP_201710","Blastocladiella emersonii",149
"292","CP_201710","Boccardia proboscidea",310
"293","CP_201710","Callophyllis flabellulata",119
"294","CP_201710","Chaetoceros socialis",58
"295","CP_201710","Chattonella subsalsa",1044
"296","CP_201710","Chrysaora melanaster",9
"297","CP_201710","Chrysochromulina sp. CCMP291",88
"298","CP_201710","Corallina vancouveriensis",46
"299","CP_201710","Coscinodiscus wailesii",167
"300","CP_201710","Cylindrotheca closterium",21
"301","CP_201710","Dendraster excentricus",36892
"302","CP_201710","Devaleraea mollis",229
"303","CP_201710","Dictyocha speculum",351
"304","CP_201710","Ditylum brightwellii",341
"305","CP_201710","Emiliania huxleyi",104
"306","CP_201710","Enophrys bison",4
"307","CP_201710","Euclymene sp. BOLD:ACG1020",306
"308","CP_201710","Eunice valens",320
"309","CP_201710","Fucus distichus",769
"310","CP_201710","Halichondria panicea",397
"311","CP_201710","Haliclystus sanjuanensis",338
"312","CP_201710","Hecatonema maculans",135
"313","CP_201710","Hematodinium sp.",10
"314","CP_201710","Heterocapsa rotundata",2328
"315","CP_201710","Hildenbrandia sp. 27GWS",993
"316","CP_201710","Hincksia hincksiae",6
"317","CP_201710","Homo sapiens",1144
"318","CP_201710","Laminariocolax aecidioides",9
"319","CP_201710","Littorina scutulata",14
"320","CP_201710","Littorina sitkana",54
"321","CP_201710","Lottia paradigitalis",551
"322","CP_201710","Manania gwilliami",18
"323","CP_201710","Mastocarpus alaskensis",2434
"324","CP_201710","Mazzaella sp. GWS-2013b",32
"325","CP_201710","Mazzaella splendens",270
"326","CP_201710","Membranipora membranacea",41
"327","CP_201710","Mesocentrotus franciscanus",15
"328","CP_201710","Microcladia coulteri",49
"329","CP_201710","Micromonas pusilla",9536
"330","CP_201710","Minutocellus polymorphus",42851
"331","CP_201710","Muggiaea atlantica",13
"332","CP_201710","Naineris dendritica CMC02",6
"333","CP_201710","Navicula ramosissima",3
"334","CP_201710","Navicula sp. BOLD:AAO6951",20
"335","CP_201710","Neorhodomela oregona",12
"336","CP_201710","Nereis vexillosa",119
"337","CP_201710","Nereocystis luetkeana",334
"338","CP_201710","Nicolea zostericola",2
"339","CP_201710","Oncorhynchus keta",157
"340","CP_201710","Orthopyxis integra",5
"341","CP_201710","Paracalanus sp. C AC-2013",18
"342","CP_201710","Pedospumella sinomuralis",5
"343","CP_201710","Penicillium sclerotiorum",59
"344","CP_201710","Phacellophora camtschatica",6192
"345","CP_201710","Phaeocystis antarctica",510
"346","CP_201710","Phaeocystis globosa",603
"347","CP_201710","Phytophthora taxon paludosa",14
"348","CP_201710","Platynereis bicanaliculata",4
"349","CP_201710","Platynereis sp. CMC02",3
"350","CP_201710","Poteriospumella lacustris",112
"351","CP_201710","Prionitis sternbergii",157
"352","CP_201710","Protoperidinium cf. depressum",475
"353","CP_201710","Pseudocalanus moultoni",5
"354","CP_201710","Pseudocalanus newmani",3200
"355","CP_201710","Pseudochattonella farcimen",2153
"356","CP_201710","Pycnococcus provasolii",124
"357","CP_201710","Pyramimonas parkeae",13
"358","CP_201710","Pyropia perforata",134
"359","CP_201710","Pythium acanthicum",26
"360","CP_201710","Pythium pachycaule",28
"361","CP_201710","Pythium tracheiphilum",1115
"362","CP_201710","Ralfsioid sp. 4GWS",104
"363","CP_201710","Rhizosolenia setigera",1681
"364","CP_201710","Scopalina ruetzleri",6
"365","CP_201710","Sellaphora pupula",27
"366","CP_201710","Semibalanus cariosus",30
"367","CP_201710","Skeletonema japonicum",8
"368","CP_201710","Smithora naiadum",148
"369","CP_201710","Stephanopyxis turris",16
"370","CP_201710","Thalassiosira nordenskioeldii",19579
"371","CP_201710","Thalassiosira punctigera",50
"372","CP_201710","Thecamonas trahens",6
"373","CP_201710","Thelepus crispus",459
"374","CP_201710","Thelepus sp. CMC01",306
"375","CP_201710","Triparma laevis",139
"376","CP_201710","Urile penicillatus",2175
"377","CP_201710","Wildemania sp. 5POR",41
"378","CP_201710",NA,205785
"379","CP_201711","Acartia longiremis",16
"380","CP_201711","Attheya longicornis",4
"381","CP_201711","Azumapecten farreri",4
"382","CP_201711","Balanus glandula",208
"383","CP_201711","Bathycoccus prasinos",44203
"384","CP_201711","Blastocladiella emersonii",37
"385","CP_201711","Boccardia proboscidea",86
"386","CP_201711","Cafeteria roenbergensis",4
"387","CP_201711","Calanus pacificus",5
"388","CP_201711","Callophyllis flabellulata",11
"389","CP_201711","Carcinonemertes errans",53
"390","CP_201711","Centropages abdominalis",88
"391","CP_201711","Chaetoceros socialis",26
"392","CP_201711","Chattonella subsalsa",172
"393","CP_201711","Chondracanthus exasperatus",29
"394","CP_201711","Chrysochromulina sp. CCMP291",5
"395","CP_201711","Chthamalus dalli",341
"396","CP_201711","Cliona chilensis",51
"397","CP_201711","Corallina vancouveriensis",19
"398","CP_201711","Coscinodiscus wailesii",49
"399","CP_201711","Cylindrotheca closterium",5
"400","CP_201711","Dasybranchus sp. DH1",60
"401","CP_201711","Dendraster excentricus",61
"402","CP_201711","Dictyocha speculum",311
"403","CP_201711","Ditylum brightwellii",10
"404","CP_201711","Emiliania huxleyi",114
"405","CP_201711","Emplectonema sp. 1 TCH-2015",39
"406","CP_201711","Euclymene sp. BOLD:ACG1020",9
"407","CP_201711","Eunice valens",70
"408","CP_201711","Fucus distichus",163
"409","CP_201711","Halichondria panicea",167
"410","CP_201711","Haliclystus sanjuanensis",10
"411","CP_201711","Hecatonema maculans",10
"412","CP_201711","Heterocapsa rotundata",586
"413","CP_201711","Hildenbrandia sp. 27GWS",303
"414","CP_201711","Hincksia hincksiae",18
"415","CP_201711","Homo sapiens",238
"416","CP_201711","Laminariocolax aecidioides",14
"417","CP_201711","Lepidodinium chlorophorum",82
"418","CP_201711","Liparis florae",348
"419","CP_201711","Littorina plena",1415
"420","CP_201711","Littorina scutulata",56
"421","CP_201711","Littorina sitkana",96
"422","CP_201711","Lottia paradigitalis",87
"423","CP_201711","Manania gwilliami",18
"424","CP_201711","Mastocarpus alaskensis",106
"425","CP_201711","Mazzaella splendens",4
"426","CP_201711","Membranipora membranacea",9
"427","CP_201711","Micromonas pusilla",18811
"428","CP_201711","Minutocellus polymorphus",10394
"429","CP_201711","Mytilus trossulus",325
"430","CP_201711","Navicula sp. BOLD:AAO6950",14
"431","CP_201711","Navicula sp. BOLD:AAO6951",3
"432","CP_201711","Nereis vexillosa",351
"433","CP_201711","Nitzschia cf. promare",6
"434","CP_201711","Ostrea lurida",5
"435","CP_201711","Penicillium sclerotiorum",25
"436","CP_201711","Petalonia fascia",5
"437","CP_201711","Phacellophora camtschatica",3
"438","CP_201711","Phaeocystis antarctica",3070
"439","CP_201711","Phaeocystis globosa",363
"440","CP_201711","Phoca vitulina",4
"441","CP_201711","Platynereis bicanaliculata",179
"442","CP_201711","Polycirrus sp. CMC06",16
"443","CP_201711","Prionitis sternbergii",35
"444","CP_201711","Pseudocalanus newmani",32
"445","CP_201711","Pseudochattonella farcimen",49
"446","CP_201711","Pycnococcus provasolii",80
"447","CP_201711","Pyropia fallax",2
"448","CP_201711","Pyropia perforata",16
"449","CP_201711","Pythium acanthicum",140
"450","CP_201711","Pythium pachycaule",23
"451","CP_201711","Pythium tracheiphilum",382
"452","CP_201711","Ralfsioid sp. 4GWS",589
"453","CP_201711","Rhizosolenia setigera",51
"454","CP_201711","Saprolegnia diclina",24
"455","CP_201711","Scopalina ruetzleri",3
"456","CP_201711","Sellaphora pupula",119
"457","CP_201711","Semibalanus cariosus",126
"458","CP_201711","Skeletonema cf. pseudocostatum",3
"459","CP_201711","Skeletonema japonicum",8
"460","CP_201711","Smithora naiadum",39
"461","CP_201711","Smithora sp. 1naiadum",3
"462","CP_201711","Stelligera rigida",43
"463","CP_201711","Strongylocentrotus droebachiensis",40
"464","CP_201711","Thalassionema nitzschioides",26
"465","CP_201711","Thalassiosira nordenskioeldii",3063
"466","CP_201711","Thecamonas trahens",2
"467","CP_201711","Thelepus crispus",755
"468","CP_201711",NA,160296
"469","CP_201801","Amathia vidovici",4409
"470","CP_201801","Asterionellopsis guyunusae",52
"471","CP_201801","Balanus glandula",343
"472","CP_201801","Bathycoccus prasinos",28682
"473","CP_201801","Calanus pacificus",455
"474","CP_201801","Centropages abdominalis",234
"475","CP_201801","Chattonella subsalsa",459
"476","CP_201801","Chthamalus dalli",127
"477","CP_201801","Coscinodiscus wailesii",112
"478","CP_201801","Dendraster excentricus",11
"479","CP_201801","Dictyocha speculum",16
"480","CP_201801","Ditylum brightwellii",48
"481","CP_201801","Emiliania huxleyi",384
"482","CP_201801","Emplectonema sp. 1 TCH-2015",281
"483","CP_201801","Fucus distichus",137
"484","CP_201801","Grammonema striatula",16
"485","CP_201801","Heterocapsa rotundata",589
"486","CP_201801","Hildenbrandia sp. 27GWS",287
"487","CP_201801","Hincksia hincksiae",40
"488","CP_201801","Homo sapiens",36
"489","CP_201801","Laminariocolax aecidioides",254
"490","CP_201801","Leathesia marina",42
"491","CP_201801","Lottia paradigitalis",126
"492","CP_201801","Micromonas pusilla",9505
"493","CP_201801","Minutocellus polymorphus",10116
"494","CP_201801","Navicula glaciei",33
"495","CP_201801","Navicula sp. BOLD:AAO6951",77
"496","CP_201801","Nicolea zostericola",84
"497","CP_201801","Ophelina acuminata",117
"498","CP_201801","Ostrea lurida",809
"499","CP_201801","Parvamoeba rugata",252
"500","CP_201801","Penicillium rubens",98
"501","CP_201801","Phaeocystis antarctica",11490
"502","CP_201801","Phaeocystis globosa",40
"503","CP_201801","Phytophthora riparia",18
"504","CP_201801","Pinnularia sp. 5 CS-2011",408
"505","CP_201801","Poteriospumella lacustris",5
"506","CP_201801","Pseudocalanus newmani",329
"507","CP_201801","Pycnococcus provasolii",55
"508","CP_201801","Pyramimonas parkeae",50
"509","CP_201801","Pyropia fallax",39
"510","CP_201801","Ralfsioid sp. 4GWS",5
"511","CP_201801","Rhizosolenia setigera",1300
"512","CP_201801","Thalassionema nitzschioides",635
"513","CP_201801","Thalassiosira nordenskioeldii",1977
"514","CP_201801","Thalassiosira punctigera",33
"515","CP_201801","Thelepus crispus",1862
"516","CP_201801",NA,125948
"517","CP_201803","Acartia longiremis",4809
"518","CP_201803","Acrochaetium arcuatum",26
"519","CP_201803","Apodachlya minima",20
"520","CP_201803","Attheya longicornis",6
"521","CP_201803","Balanus balanus",27979
"522","CP_201803","Balanus glandula",871
"523","CP_201803","Bathycoccus prasinos",47432
"524","CP_201803","Chattonella subsalsa",675
"525","CP_201803","Chordariaceae sp. 17 AP-2014",14
"526","CP_201803","Chthamalus dalli",3739
"527","CP_201803","Cliona chilensis",25
"528","CP_201803","Corallina vancouveriensis",817
"529","CP_201803","Cylindrotheca closterium",520
"530","CP_201803","Dictyocha speculum",31
"531","CP_201803","Ditylum brightwellii",566
"532","CP_201803","Ectocarpus siliculosus",26
"533","CP_201803","Emiliania huxleyi",12
"534","CP_201803","Enophrys bison",1545
"535","CP_201803","Fucus distichus",69
"536","CP_201803","Gomphonema clevei",1
"537","CP_201803","Grammonema striatula",778
"538","CP_201803","Halichondria panicea",25065
"539","CP_201803","Hecatonema maculans",40
"540","CP_201803","Heterocapsa rotundata",398
"541","CP_201803","Hildenbrandia sp. 27GWS",582
"542","CP_201803","Hincksia hincksiae",378
"543","CP_201803","Homo sapiens",748
"544","CP_201803","Littorina scutulata",119
"545","CP_201803","Lottia paradigitalis",11334
"546","CP_201803","Mazzaella rosea",53
"547","CP_201803","Mazzaella splendens",88
"548","CP_201803","Micromonas pusilla",21775
"549","CP_201803","Minutocellus polymorphus",6871
"550","CP_201803","Navicula cryptocephala",36
"551","CP_201803","Navicula glaciei",147
"552","CP_201803","Navicula sp. BOLD:AAO6950",12
"553","CP_201803","Navicula sp. BOLD:AAO6951",1477
"554","CP_201803","Neorhodomela oregona",18
"555","CP_201803","Nicolea zostericola",36
"556","CP_201803","Nitzschia cf. promare",1918
"557","CP_201803","Oligocottus maculosus",332
"558","CP_201803","Orthocladius sp. BOLD-2016",11
"559","CP_201803","Paramoeba pemaquidensis",21
"560","CP_201803","Petalonia fascia",12
"561","CP_201803","Phaeocystis antarctica",61332
"562","CP_201803","Polysiphonia hendryi",164
"563","CP_201803","Poteriospumella lacustris",186
"564","CP_201803","Protoperidinium cf. depressum",29
"565","CP_201803","Pseudo-nitzschia delicatissima",103
"566","CP_201803","Pseudocalanus mimus",1021
"567","CP_201803","Pseudocalanus moultoni",82
"568","CP_201803","Pterosiphonia bipinnata",9
"569","CP_201803","Pycnococcus provasolii",286
"570","CP_201803","Pyramimonas parkeae",155
"571","CP_201803","Pyropia fallax",53
"572","CP_201803","Pythium tracheiphilum",66
"573","CP_201803","Ralfsioid sp. 4GWS",2360
"574","CP_201803","Rhizosolenia setigera",2250
"575","CP_201803","Sellaphora pupula",18
"576","CP_201803","Semibalanus cariosus",1911
"577","CP_201803","Skeletonema dohrnii",1119
"578","CP_201803","Smithora sp. 1naiadum",868
"579","CP_201803","Stelligera rigida",31
"580","CP_201803","Strongylocentrotus droebachiensis",610
"581","CP_201803","Thalassionema nitzschioides",332
"582","CP_201803","Thalassiosira nordenskioeldii",4702
"583","CP_201803","Thalassiosira punctigera",49
"584","CP_201803","Thecamonas trahens",74
"585","CP_201803","Thelepus crispus",133
"586","CP_201803","Thelepus sp. CMC01",229
"587","CP_201803","Triparma laevis",513
"588","CP_201803","Tylos sp. clade D MM-2013",25
"589","CP_201803","Wildemania sp. 5POR",96
"590","CP_201803",NA,226436
"591","CP_201805","Acartia californiensis",1485
"592","CP_201805","Acartia longiremis",5427
"593","CP_201805","Acrochaetium arcuatum",15
"594","CP_201805","Aequorea sp. MW-2012",342
"595","CP_201805","Aphanomyces sp. BOLD:AAO9952",76
"596","CP_201805","Apodachlya minima",434
"597","CP_201805","Asterionellopsis glacialis",73
"598","CP_201805","Asterionellopsis tropicalis",125
"599","CP_201805","Attheya longicornis",317
"600","CP_201805","Aurelia labiata",2159
"601","CP_201805","Balanus balanus",7450
"602","CP_201805","Balanus glandula",81
"603","CP_201805","Bathycoccus prasinos",2524
"604","CP_201805","Boccardia proboscidea",214
"605","CP_201805","Brachionidae sp. SHYT150702c",513
"606","CP_201805","Centropages abdominalis",2938
"607","CP_201805","Chaetoceros socialis",297
"608","CP_201805","Chattonella subsalsa",2437
"609","CP_201805","Chondracanthus exasperatus",406
"610","CP_201805","Chrysochromulina sp. CCMP291",102
"611","CP_201805","Chthamalus dalli",85
"612","CP_201805","Clytia folleata",34
"613","CP_201805","Clytia gracilis",291
