sample,site,year,month,species,richness,nonnative
TR_201711,TR,2017,11,Pseudochattonella farcimen,1,1
TR_201711,TR,2017,11,Ruditapes philippinarum,1,1
TR_201801,TR,2018,01,Gelidiophycus freshwateri,1,1
TR_201803,TR,2018,03,Caulacanthus ustulatus,1,1
TR_201803,TR,2018,03,Crassostrea gigas,1,1
TR_201803,TR,2018,03,Gelidiophycus freshwateri,1,1
TR_201803,TR,2018,03,Gracilaria vermiculophylla,1,1
TR_201805,TR,2018,05,Botrylloides violaceus,1,1
TR_201805,TR,2018,05,Callithamnion corymbosum,1,1
TR_201805,TR,2018,05,Caulacanthus ustulatus,1,1
TR_201805,TR,2018,05,Gracilaria vermiculophylla,1,1
TR_201805,TR,2018,05,Lomentaria hakodatensis,1,1
TR_201805,TR,2018,05,Nuttallia olivacea,1,1
TR_201805,TR,2018,05,Pseudochattonella farcimen,1,1
TR_201807,TR,2018,07,Botrylloides violaceus,1,1
TR_201807,TR,2018,07,Caulacanthus ustulatus,1,1
TR_201807,TR,2018,07,Crassostrea gigas,1,1
TR_201807,TR,2018,07,Gelidiophycus freshwateri,1,1
TR_201807,TR,2018,07,Gracilaria vermiculophylla,1,1
TR_201807,TR,2018,07,Pseudochattonella farcimen,1,1
TR_201807,TR,2018,07,Ruditapes philippinarum,1,1
TW_201703,TW,2017,03,Caulacanthus ustulatus,1,1
TW_201703,TW,2017,03,Pseudochattonella farcimen,1,1
TW_201703,TW,2017,03,Ruditapes philippinarum,1,1
TW_201705,TW,2017,05,Callithamnion corymbosum,1,1
TW_201705,TW,2017,05,Musculista senhousia,1,1
TW_201705,TW,2017,05,Nuttallia olivacea,1,1
TW_201705,TW,2017,05,Pseudochattonella farcimen,1,1
TW_201705,TW,2017,05,Pyropia haitanensis,1,1
TW_201705,TW,2017,05,Ruditapes philippinarum,1,1
TW_201706,TW,2017,06,Callithamnion corymbosum,1,1
TW_201706,TW,2017,06,Caulacanthus ustulatus,1,1
TW_201706,TW,2017,06,Crassostrea gigas,1,1
TW_201706,TW,2017,06,Gelidium vagum,1,1
TW_201706,TW,2017,06,Gracilaria vermiculophylla,1,1
TW_201706,TW,2017,06,Monocorophium acherusicum,1,1
TW_201706,TW,2017,06,Nuttallia olivacea,1,1
TW_201706,TW,2017,06,Pseudochattonella farcimen,1,1
TW_201706,TW,2017,06,Pyropia haitanensis,1,1
TW_201706,TW,2017,06,Ruditapes philippinarum,1,1
TW_201707,TW,2017,07,Gracilaria vermiculophylla,1,1
TW_201707,TW,2017,07,Pseudochattonella farcimen,1,1
TW_201708,TW,2017,08,Crassostrea gigas,1,1
TW_201708,TW,2017,08,Gracilaria vermiculophylla,1,1
TW_201708,TW,2017,08,Nuttallia olivacea,1,1
TW_201708,TW,2017,08,Pseudochattonella farcimen,1,1
TW_201708,TW,2017,08,Ruditapes philippinarum,1,1
TW_201709,TW,2017,09,Gracilaria vermiculophylla,1,1
TW_201709,TW,2017,09,Pseudochattonella farcimen,1,1
TW_201709,TW,2017,09,Pyropia haitanensis,1,1
TW_201711,TW,2017,11,Pseudochattonella farcimen,1,1
TW_201711,TW,2017,11,Pyropia haitanensis,1,1
TW_201711,TW,2017,11,Ruditapes philippinarum,1,1
TW_201803,TW,2018,03,Caulacanthus ustulatus,1,1
TW_201803,TW,2018,03,Gracilaria vermiculophylla,1,1
TW_201803,TW,2018,03,Pseudochattonella farcimen,1,1
TW_201803,TW,2018,03,Ruditapes philippinarum,1,1
TW_201805,TW,2018,05,Caulacanthus ustulatus,1,1
TW_201805,TW,2018,05,Gracilaria vermiculophylla,1,1
TW_201805,TW,2018,05,Nitokra spinipes,1,1
TW_201805,TW,2018,05,Nuttallia olivacea,1,1
TW_201805,TW,2018,05,Pyropia haitanensis,1,1
TW_201805,TW,2018,05,Ruditapes philippinarum,1,1
TW_201807,TW,2018,07,Gracilaria vermiculophylla,1,1
TW_201807,TW,2018,07,Pseudochattonella farcimen,1,1
