"","sample","site","year","month","n_detections","region","season","all_sp_detections","prop_nn"
"47","PO_201708","PO","2017","08",8,"HC","warm",51,0.156862745098039
"48","PO_201709","PO","2017","09",5,"HC","warm",50,0.1
"49","PO_201711","PO","2017","11",4,"HC","cool",71,0.0563380281690141
"50","PO_201801","PO","2018","01",1,"HC","cool",45,0.0222222222222222
"51","PO_201803","PO","2018","03",1,"HC","cool",56,0.0178571428571429
"52","PO_201805","PO","2018","05",2,"HC","warm",54,0.037037037037037
"53","PO_201807","PO","2018","07",4,"HC","warm",43,0.0930232558139535
"54","SA_201703","SA","2017","03",0,"HC","cool",38,0
"55","SA_201705","SA","2017","05",2,"HC","warm",90,0.0222222222222222
"56","SA_201706","SA","2017","06",6,"HC","warm",59,0.101694915254237
"57","SA_201707","SA","2017","07",1,"HC","warm",35,0.0285714285714286
"58","SA_201708","SA","2017","08",2,"HC","warm",65,0.0307692307692308
"59","SA_201709","SA","2017","09",5,"HC","warm",52,0.0961538461538462
"60","SA_201711","SA","2017","11",2,"HC","cool",62,0.032258064516129
"61","SA_201801","SA","2018","01",2,"HC","cool",50,0.04
"62","SA_201803","SA","2018","03",1,"HC","cool",48,0.0208333333333333
"63","SA_201805","SA","2018","05",3,"HC","warm",71,0.0422535211267606
"64","SA_201807","SA","2018","07",3,"HC","warm",51,0.0588235294117647
"65","TR_201703","TR","2017","03",2,"HC","cool",42,0.0476190476190476
"66","TR_201705","TR","2017","05",6,"HC","warm",81,0.0740740740740741
"67","TR_201706","TR","2017","06",7,"HC","warm",55,0.127272727272727
"68","TR_201707","TR","2017","07",6,"HC","warm",36,0.166666666666667
"69","TR_201708","TR","2017","08",6,"HC","warm",39,0.153846153846154
"70","TR_201709","TR","2017","09",6,"HC","warm",46,0.130434782608696
"71","TR_201711","TR","2017","11",6,"HC","cool",54,0.111111111111111
"72","TR_201801","TR","2018","01",1,"HC","cool",36,0.0277777777777778
"73","TR_201803","TR","2018","03",4,"HC","cool",63,0.0634920634920635
"74","TR_201805","TR","2018","05",7,"HC","warm",75,0.0933333333333333
"75","TR_201807","TR","2018","07",7,"HC","warm",60,0.116666666666667
"76","TW_201703","TW","2017","03",3,"HC","cool",49,0.0612244897959184
"77","TW_201705","TW","2017","05",6,"HC","warm",51,0.117647058823529
"78","TW_201706","TW","2017","06",10,"HC","warm",78,0.128205128205128
"79","TW_201707","TW","2017","07",2,"HC","warm",29,0.0689655172413793
"80","TW_201708","TW","2017","08",5,"HC","warm",42,0.119047619047619
"81","TW_201709","TW","2017","09",3,"HC","warm",51,0.0588235294117647
"82","TW_201711","TW","2017","11",3,"HC","cool",44,0.0681818181818182
"83","TW_201801","TW","2018","01",0,"HC","cool",25,0
"84","TW_201803","TW","2018","03",4,"HC","cool",51,0.0784313725490196
"85","TW_201805","TW","2018","05",6,"HC","warm",60,0.1
"86","TW_201807","TW","2018","07",2,"HC","warm",47,0.0425531914893617
