"","sample","species","nReads"
"41","CP_201706A.2","Pythium pachycaule",3
"42","CP_201706A.2","Ralfsioid sp. 4GWS",81
"43","CP_201706A.2","Rhizosolenia setigera",1105
"44","CP_201706A.2","Skeletonema cf. pseudocostatum",14
"45","CP_201706A.2","Smithora naiadum",77
"46","CP_201706A.2","Thalassiosira nordenskioeldii",1494
"47","CP_201706A.2","Wildemania sp. 5POR",12
"48","CP_201706A.2",NA,19155
"49","CP_201706B.1","Acartia longiremis",1105
"50","CP_201706B.1","Acrochaetium arcuatum",28
"51","CP_201706B.1","Aequorea sp. MW-2012",510
"52","CP_201706B.1","Apodachlya minima",51
"53","CP_201706B.1","Attheya longicornis",37
"54","CP_201706B.1","Aurelia labiata",131
"55","CP_201706B.1","Bathycoccus prasinos",1390
"56","CP_201706B.1","Blastocladiella emersonii",72
"57","CP_201706B.1","Chaetoceros socialis",2076
"58","CP_201706B.1","Chaetoceros sp. MBTD-CMFRI-S045",27
"59","CP_201706B.1","Chattonella subsalsa",8
"60","CP_201706B.1","Clytia folleata",28
"61","CP_201706B.1","Clytia gracilis",42
"62","CP_201706B.1","Coscinodiscus wailesii",27
"63","CP_201706B.1","Cylindrotheca closterium",108
"64","CP_201706B.1","Devaleraea mollis",8
"65","CP_201706B.1","Dictyocha speculum",24
"66","CP_201706B.1","Ditylum brightwellii",150
"67","CP_201706B.1","Grammonema striatula",424
"68","CP_201706B.1","Hecatonema maculans",91
"69","CP_201706B.1","Hematodinium sp.",12
"70","CP_201706B.1","Heterocapsa rotundata",279
"71","CP_201706B.1","Lacuna vincta",132
"72","CP_201706B.1","Mazzaella splendens",13
"73","CP_201706B.1","Micromonas pusilla",5473
"74","CP_201706B.1","Minutocellus polymorphus",918
"75","CP_201706B.1","Navicula glaciei",26
"76","CP_201706B.1","Navicula sp. BOLD:AAO6951",6
"77","CP_201706B.1","Nereocystis luetkeana",19
"78","CP_201706B.1","Nicolea zostericola",21
"79","CP_201706B.1","Notheia anomala",5
"80","CP_201706B.1","Orthopyxis integra",38
"81","CP_201706B.1","Phaeocystis antarctica",552
"82","CP_201706B.1","Phaeocystis globosa",10
"83","CP_201706B.1","Phytophthora taxon paludosa",4
"84","CP_201706B.1","Pinnularia sp. 5 CS-2011",15
"85","CP_201706B.1","Pseudo-nitzschia delicatissima",34
"86","CP_201706B.1","Pseudo-nitzschia hasleana",471
"87","CP_201706B.1","Pseudocalanus newmani",6
"88","CP_201706B.1","Pyramimonas parkeae",128
"89","CP_201706B.1","Pyropia fallax",23
"90","CP_201706B.1","Pythium pachycaule",10
"91","CP_201706B.1","Pythium tracheiphilum",37
"92","CP_201706B.1","Rhizosolenia setigera",2163
"93","CP_201706B.1","Salispina spinosa",8
"94","CP_201706B.1","Skeletonema cf. pseudocostatum",14
"95","CP_201706B.1","Skeletonema japonicum",249
"96","CP_201706B.1","Smithora naiadum",325
"97","CP_201706B.1","Thalassionema nitzschioides",79
"98","CP_201706B.1","Thalassiosira nordenskioeldii",2071
"99","CP_201706B.1","Thecamonas trahens",8
"100","CP_201706B.1","Wildemania amplissima",10
"101","CP_201706B.1","Wildemania sp. 5POR",22
"102","CP_201706B.1","Wildemania sp. HK-2011",9
"103","CP_201706B.1",NA,38887
"104","CP_201706B.2","Acartia longiremis",723
"105","CP_201706B.2","Aequorea sp. MW-2012",50
"106","CP_201706B.2","Apodachlya minima",6
"107","CP_201706B.2","Attheya longicornis",18
"108","CP_201706B.2","Bathycoccus prasinos",906
"109","CP_201706B.2","Blastocladiella emersonii",7
"110","CP_201706B.2","Chaetoceros socialis",238
"111","CP_201706B.2","Chaetoceros sp. MBTD-CMFRI-S045",43
"112","CP_201706B.2","Chattonella subsalsa",33
"113","CP_201706B.2","Chordariaceae sp. 7 AP-2014",16
"114","CP_201706B.2","Clytia gracilis",13
"115","CP_201706B.2","Corallina vancouveriensis",10
"116","CP_201706B.2","Coscinodiscus wailesii",4
"117","CP_201706B.2","Cylindrotheca closterium",9
"118","CP_201706B.2","Devaleraea mollis",3
"119","CP_201706B.2","Ditylum brightwellii",37
"120","CP_201706B.2","Dodecaceria sp. CMC01",5
"121","CP_201706B.2","Emiliania huxleyi",3
"122","CP_201706B.2","Grammonema striatula",78
"123","CP_201706B.2","Halichondria panicea",12
"124","CP_201706B.2","Hecatonema maculans",12
"125","CP_201706B.2","Heterocapsa rotundata",67
"126","CP_201706B.2","Lacuna vincta",61
"127","CP_201706B.2","Laminariocolax aecidioides",9
"128","CP_201706B.2","Mazzaella splendens",18
"129","CP_201706B.2","Micromonas pusilla",1453
"130","CP_201706B.2","Minutocellus polymorphus",224
"131","CP_201706B.2","Nereocystis luetkeana",2
"132","CP_201706B.2","Odonthalia floccosa",6
"133","CP_201706B.2","Orthopyxis integra",13
"134","CP_201706B.2","Pedospumella sinomuralis",2
"135","CP_201706B.2","Phaeocystis antarctica",607
"136","CP_201706B.2","Phaeocystis globosa",3
"137","CP_201706B.2","Polysiphonia hendryi",12
"138","CP_201706B.2","Poteriospumella lacustris",3
"139","CP_201706B.2","Pseudo-nitzschia delicatissima",18
"140","CP_201706B.2","Pseudo-nitzschia hasleana",53
"141","CP_201706B.2","Pythium tracheiphilum",7
"142","CP_201706B.2","Rhizosolenia setigera",587
"143","CP_201706B.2","Schizobranchia insignis",13
"144","CP_201706B.2","Skeletonema japonicum",39
"145","CP_201706B.2","Smithora naiadum",57
"146","CP_201706B.2","Strongylocentrotus droebachiensis",20
"147","CP_201706B.2","Thalassionema nitzschioides",12
"148","CP_201706B.2","Thalassiosira nordenskioeldii",194
"149","CP_201706B.2","Triparma laevis",5
"150","CP_201706B.2","Wildemania amplissima",7
"151","CP_201706B.2","Wildemania sp. 5POR",13
"152","CP_201706B.2",NA,6746
"153","CP_201706B.3","Acartia longiremis",320
"154","CP_201706B.3","Aequorea sp. MW-2012",70
"155","CP_201706B.3","Bathycoccus prasinos",534
"156","CP_201706B.3","Chaetoceros socialis",310
"157","CP_201706B.3","Chaetoceros sp. MBTD-CMFRI-S045",22
"158","CP_201706B.3","Clytia gracilis",43
"159","CP_201706B.3","Dictyocha speculum",9
"160","CP_201706B.3","Ditylum brightwellii",33
"161","CP_201706B.3","Grammonema striatula",71
"162","CP_201706B.3","Hecatonema maculans",11
"163","CP_201706B.3","Heterocapsa rotundata",109
"164","CP_201706B.3","Lacuna vincta",19
"165","CP_201706B.3","Leathesia marina",8
"166","CP_201706B.3","Mazzaella splendens",17
"167","CP_201706B.3","Micromonas pusilla",682
"168","CP_201706B.3","Minutocellus polymorphus",219
"169","CP_201706B.3","Nanomia bijuga",2
"170","CP_201706B.3","Navicula sp. BOLD:AAO6951",6
"171","CP_201706B.3","Nicolea zostericola",7
"172","CP_201706B.3","Phaeocystis antarctica",145
"173","CP_201706B.3","Phaeocystis globosa",8
"174","CP_201706B.3","Pseudo-nitzschia hasleana",16
"175","CP_201706B.3","Ralfsioid sp. 4GWS",4
"176","CP_201706B.3","Rhizosolenia setigera",413
"177","CP_201706B.3","Sarcodiotheca sp. 2gaudichaudii",20
"178","CP_201706B.3","Skeletonema dohrnii",8
"179","CP_201706B.3","Skeletonema japonicum",16
"180","CP_201706B.3","Smithora naiadum",46
"181","CP_201706B.3","Thalassiosira nordenskioeldii",145
"182","CP_201706B.3","Triparma laevis",5
"183","CP_201706B.3","Wildemania sp. 5POR",6
"184","CP_201706B.3",NA,5858
"185","CP_201706C.1","Asterionellopsis guyunusae",5
"186","CP_201706C.1","Attheya longicornis",6
"187","CP_201706C.1","Balanus balanus",2162
"188","CP_201706C.1","Bathycoccus prasinos",3161
"189","CP_201706C.1","Blastocladiella emersonii",3
"190","CP_201706C.1","Chaetoceros socialis",568
"191","CP_201706C.1","Chaetoceros sp. MBTD-CMFRI-S045",304
"192","CP_201706C.1","Chordariaceae sp. 7 AP-2014",27
"193","CP_201706C.1","Chrysochromulina sp. CCMP291",9
"194","CP_201706C.1","Clytia gracilis",247
"195","CP_201706C.1","Corallina vancouveriensis",612
"196","CP_201706C.1","Cylindrotheca closterium",49
"197","CP_201706C.1","Devaleraea mollis",8
"198","CP_201706C.1","Ditylum brightwellii",46
"199","CP_201706C.1","Dodecaceria sp. CMC01",304
"200","CP_201706C.1","Emiliania huxleyi",5
"201","CP_201706C.1","Grammonema striatula",597
"202","CP_201706C.1","Halichondria panicea",6
"203","CP_201706C.1","Hecatonema maculans",20
"204","CP_201706C.1","Heterocapsa rotundata",219
"205","CP_201706C.1","Membranipora membranacea",23
"206","CP_201706C.1","Micromonas pusilla",1735
"207","CP_201706C.1","Minutocellus polymorphus",249
"208","CP_201706C.1","Naineris dendritica CMC02",30
"209","CP_201706C.1","Navicula cryptocephala",7
"210","CP_201706C.1","Navicula glaciei",19
"211","CP_201706C.1","Nereocystis luetkeana",7
"212","CP_201706C.1","Nicolea zostericola",13
"213","CP_201706C.1","Nitzschia cf. promare",115
"214","CP_201706C.1","Notheia anomala",14
"215","CP_201706C.1","Orthocladius sp. BOLD-2016",821
"216","CP_201706C.1","Orthopyxis integra",30
"217","CP_201706C.1","Pedospumella sinomuralis",3
"218","CP_201706C.1","Phaeocystis antarctica",150
"219","CP_201706C.1","Platynereis bicanaliculata",139
"220","CP_201706C.1","Polysiphonia hendryi",34
"221","CP_201706C.1","Pseudo-nitzschia delicatissima",18
"222","CP_201706C.1","Pseudo-nitzschia hasleana",8
"223","CP_201706C.1","Pythium pachycaule",10
"224","CP_201706C.1","Rhizosolenia setigera",2148
"225","CP_201706C.1","Scopalina ruetzleri",65
"226","CP_201706C.1","Semibalanus cariosus",18
"227","CP_201706C.1","Skeletonema japonicum",35
"228","CP_201706C.1","Smithora naiadum",278
"229","CP_201706C.1","Synchaeta pectinata",16
"230","CP_201706C.1","Thalassionema nitzschioides",8
"231","CP_201706C.1","Thecamonas trahens",5
"232","CP_201706C.1",NA,34537
"233","CP_201706C.2","Balanus balanus",2444
"234","CP_201706C.2","Bathycoccus prasinos",4152
"235","CP_201706C.2","Chaetoceros socialis",15
"236","CP_201706C.2","Chaetoceros sp. MBTD-CMFRI-S045",70
"237","CP_201706C.2","Ditylum brightwellii",15
"238","CP_201706C.2","Grammonema striatula",271
"239","CP_201706C.2","Hematodinium sp.",25
"240","CP_201706C.2","Heterocapsa rotundata",124
"241","CP_201706C.2","Micromonas pusilla",951
"242","CP_201706C.2","Minutocellus polymorphus",160
"243","CP_201706C.2","Nereocystis luetkeana",32
"244","CP_201706C.2","Nicolea zostericola",76
"245","CP_201706C.2","Orthocladius sp. BOLD-2016",172
"246","CP_201706C.2","Platynereis bicanaliculata",3286
"247","CP_201706C.2","Pseudo-nitzschia delicatissima",60
"248","CP_201706C.2","Pyropia fallax",26
"249","CP_201706C.2","Rhizosolenia setigera",3506
"250","CP_201706C.2","Rhodomonas salina",8
"251","CP_201706C.2","Smithora naiadum",568
"252","CP_201706C.2","Thecamonas trahens",368
"253","CP_201706C.2","Thelepus crispus",181
"254","CP_201706C.2","Wildemania sp. 5POR",173
"255","CP_201706C.2",NA,41369
"256","CP_201707A.1","Balanus balanus",313
"257","CP_201707A.1","Bathycoccus prasinos",1
"258","CP_201707A.1","Centropages abdominalis",184
"259","CP_201707A.1","Chaetoceros socialis",11
"260","CP_201707A.1","Chaetoceros sp. MBTD-CMFRI-S045",6
"261","CP_201707A.1","Chattonella subsalsa",8
"262","CP_201707A.1","Chrysonoma sp. ANIC15",6
"263","CP_201707A.1","Clytia gracilis",46
"264","CP_201707A.1","Corallina vancouveriensis",28
"265","CP_201707A.1","Coscinodiscus wailesii",250
"266","CP_201707A.1","Lacuna vincta",474
"267","CP_201707A.1","Membranipora membranacea",14
"268","CP_201707A.1","Micromonas pusilla",6
"269","CP_201707A.1","Minutocellus polymorphus",43
"270","CP_201707A.1","Nicolea zostericola",27
"271","CP_201707A.1","Orthopyxis integra",2046
"272","CP_201707A.1","Pseudocalanus newmani",71
"273","CP_201707A.1","Pythium tracheiphilum",34
"274","CP_201707A.1","Rhizosolenia setigera",176
"275","CP_201707A.1","Smithora naiadum",124
"276","CP_201707A.1","Stephanopyxis turris",10
"277","CP_201707A.1","Thalassiosira nordenskioeldii",22
"278","CP_201707A.1","Thelepus sp. CMC01",1150
"279","CP_201707A.1",NA,5126
"280","CP_201707A.2","Acartia longiremis",3
"281","CP_201707A.2","Balanus balanus",532
"282","CP_201707A.2","Centropages abdominalis",152
"283","CP_201707A.2","Chaetoceros socialis",11
"284","CP_201707A.2","Chaetoceros sp. MBTD-CMFRI-S045",57
"285","CP_201707A.2","Chattonella subsalsa",28
"286","CP_201707A.2","Clytia gracilis",23
"287","CP_201707A.2","Coscinodiscus wailesii",312
"288","CP_201707A.2","Dictyocha speculum",5
"289","CP_201707A.2","Enophrys bison",3
"290","CP_201707A.2","Euclymene oerstedi",293
"291","CP_201707A.2","Grammonema striatula",54
"292","CP_201707A.2","Lacuna vincta",581
"293","CP_201707A.2","Membranipora membranacea",3
"294","CP_201707A.2","Micromonas pusilla",21
"295","CP_201707A.2","Minutocellus polymorphus",252
"296","CP_201707A.2","Nereocystis luetkeana",9
"297","CP_201707A.2","Nicolea zostericola",58
"298","CP_201707A.2","Nitzschia cf. promare",3
"299","CP_201707A.2","Orthopyxis integra",3435
"300","CP_201707A.2","Pseudocalanus newmani",26
"301","CP_201707A.2","Pythium tracheiphilum",37
"302","CP_201707A.2","Rhizosolenia setigera",338
"303","CP_201707A.2","Smithora naiadum",116
"304","CP_201707A.2","Thalassionema nitzschioides",2
"305","CP_201707A.2","Thalassiosira nordenskioeldii",27
"306","CP_201707A.2","Thelepus sp. CMC01",1213
"307","CP_201707A.2","Wildemania sp. 5POR",3
"308","CP_201707A.2",NA,6564
"309","CP_201707A.3","Asterionellopsis glacialis",5
"310","CP_201707A.3","Asterionellopsis tropicalis",2
"311","CP_201707A.3","Balanus balanus",2388
"312","CP_201707A.3","Bathycoccus prasinos",115
"313","CP_201707A.3","Blastocladiella emersonii",18
"314","CP_201707A.3","Centropages abdominalis",1202
"315","CP_201707A.3","Chaetoceros socialis",54
"316","CP_201707A.3","Chaetoceros sp. MBTD-CMFRI-S045",166
"317","CP_201707A.3","Chattonella subsalsa",61
"318","CP_201707A.3","Clytia gracilis",164
"319","CP_201707A.3","Coscinodiscus wailesii",1679
"320","CP_201707A.3","Cylindrotheca closterium",36
"321","CP_201707A.3","Ditylum brightwellii",45
"322","CP_201707A.3","Egregia menziesii",35
"323","CP_201707A.3","Euclymene oerstedi",960
"324","CP_201707A.3","Grammonema striatula",30
"325","CP_201707A.3","Halichondria panicea",14
"326","CP_201707A.3","Hecatonema maculans",66
"327","CP_201707A.3","Heterocapsa rotundata",28
"328","CP_201707A.3","Lacuna vincta",2468
"329","CP_201707A.3","Laminariocolax aecidioides",25
"330","CP_201707A.3","Leathesia marina",189
"331","CP_201707A.3","Membranipora membranacea",24
"332","CP_201707A.3","Micromonas pusilla",254
"333","CP_201707A.3","Minutocellus polymorphus",45
"334","CP_201707A.3","Nereocystis luetkeana",112
"335","CP_201707A.3","Nicolea zostericola",485
"336","CP_201707A.3","Orthopyxis integra",8259
"337","CP_201707A.3","Paracalanus sp. C AC-2013",17
"338","CP_201707A.3","Phaeocystis globosa",12
"339","CP_201707A.3","Poteriospumella lacustris",47
"340","CP_201707A.3","Protoperidinium cf. depressum",75
"341","CP_201707A.3","Pseudocalanus newmani",67
"342","CP_201707A.3","Pyropia fallax",4
"343","CP_201707A.3","Pythium tracheiphilum",192
"344","CP_201707A.3","Rhizosolenia setigera",827
"345","CP_201707A.3","Smithora naiadum",1968
"346","CP_201707A.3","Stephanopyxis turris",73
"347","CP_201707A.3","Thalassiosira nordenskioeldii",204
"348","CP_201707A.3","Thecamonas trahens",2
"349","CP_201707A.3","Thelepus sp. CMC01",3990
"350","CP_201707A.3","Tresus capax",211
"351","CP_201707A.3","Triparma laevis",3
"352","CP_201707A.3",NA,24617
"353","CP_201707B.1","Acartia longiremis",801
"354","CP_201707B.1","Acrochaetium arcuatum",21
"355","CP_201707B.1","Centropages abdominalis",486
"356","CP_201707B.1","Chaetoceros socialis",31
"357","CP_201707B.1","Clytia gracilis",30
"358","CP_201707B.1","Coscinodiscus wailesii",837
"359","CP_201707B.1","Cylindrotheca closterium",9
"360","CP_201707B.1","Ditylum brightwellii",7
"361","CP_201707B.1","Lacuna vincta",90
"362","CP_201707B.1","Micromonas pusilla",51
"363","CP_201707B.1","Neorhodomela oregona",8
"364","CP_201707B.1","Nereocystis luetkeana",5
"365","CP_201707B.1","Orthopyxis integra",39
"366","CP_201707B.1","Protoperidinium cf. depressum",13
"367","CP_201707B.1","Pseudocalanus newmani",482
"368","CP_201707B.1","Pythium tracheiphilum",44
"369","CP_201707B.1","Rhizosolenia setigera",203
"370","CP_201707B.1","Skeletonema dohrnii",157
"371","CP_201707B.1","Smithora naiadum",21
"372","CP_201707B.1","Thalassiosira nordenskioeldii",103
"373","CP_201707B.1","Thelepus sp. CMC01",102
"374","CP_201707B.1",NA,6137
"375","CP_201707B.2","Acartia longiremis",9230
"376","CP_201707B.2","Asterionellopsis tropicalis",2
"377","CP_201707B.2","Attheya longicornis",25
"378","CP_201707B.2","Azumapecten farreri",26
"379","CP_201707B.2","Bathycoccus prasinos",5
"380","CP_201707B.2","Centropages abdominalis",4570
"381","CP_201707B.2","Clytia gracilis",4
"382","CP_201707B.2","Coscinodiscus wailesii",4507
"383","CP_201707B.2","Cylindrotheca closterium",62
"384","CP_201707B.2","Dictyocha speculum",58
"385","CP_201707B.2","Ditylum brightwellii",32
"386","CP_201707B.2","Egregia menziesii",43
"387","CP_201707B.2","Euclymene oerstedi",126
"388","CP_201707B.2","Grammonema striatula",20
"389","CP_201707B.2","Hecatonema maculans",43
"390","CP_201707B.2","Lacuna vincta",351
"391","CP_201707B.2","Micromonas pusilla",858
"392","CP_201707B.2","Minutocellus polymorphus",1732
"393","CP_201707B.2","Nereocystis luetkeana",68
"394","CP_201707B.2","Orthopyxis integra",53
"395","CP_201707B.2","Phaeocystis antarctica",681
"396","CP_201707B.2","Phaeocystis globosa",6
"397","CP_201707B.2","Platichthys stellatus",668
"398","CP_201707B.2","Platynereis bicanaliculata",153
"399","CP_201707B.2","Protoperidinium cf. depressum",271
"400","CP_201707B.2","Pseudo-nitzschia hasleana",23
"401","CP_201707B.2","Pseudocalanus newmani",3154
"402","CP_201707B.2","Pythium pachycaule",19
"403","CP_201707B.2","Pythium tracheiphilum",152
"404","CP_201707B.2","Rhizosolenia setigera",444
"405","CP_201707B.2","Smithora naiadum",176
"406","CP_201707B.2","Stephanopyxis turris",5
"407","CP_201707B.2","Thalassiosira nordenskioeldii",725
"408","CP_201707B.2",NA,36398
"409","CP_201707B.3","Acartia longiremis",736
"410","CP_201707B.3","Acrochaetium arcuatum",93
"411","CP_201707B.3","Bathycoccus prasinos",42
"412","CP_201707B.3","Chaetoceros socialis",14
"413","CP_201707B.3","Chaetoceros sp. MBTD-CMFRI-S062",32
"414","CP_201707B.3","Chattonella subsalsa",30
"415","CP_201707B.3","Clytia gracilis",257
"416","CP_201707B.3","Coscinodiscus wailesii",944
"417","CP_201707B.3","Cylindrotheca closterium",23
"418","CP_201707B.3","Dictyocha speculum",27
"419","CP_201707B.3","Ditylum brightwellii",26
"420","CP_201707B.3","Dodecaceria sp. CMC01",23
"421","CP_201707B.3","Dolichomastix tenuilepis",38
"422","CP_201707B.3","Egregia menziesii",8
"423","CP_201707B.3","Grammonema striatula",47
"424","CP_201707B.3","Hecatonema maculans",7
"425","CP_201707B.3","Laminariocolax aecidioides",8
"426","CP_201707B.3","Membranipora membranacea",7
"427","CP_201707B.3","Micromonas pusilla",157
"428","CP_201707B.3","Minutocellus polymorphus",62
"429","CP_201707B.3","Nereocystis luetkeana",8
"430","CP_201707B.3","Phaeocystis antarctica",38
"431","CP_201707B.3","Phaeocystis globosa",6
"432","CP_201707B.3","Poteriospumella lacustris",11
"433","CP_201707B.3","Protoperidinium cf. depressum",101
"434","CP_201707B.3","Pseudo-nitzschia hasleana",7
"435","CP_201707B.3","Pseudocalanus newmani",230
"436","CP_201707B.3","Pseudochattonella farcimen",100
"437","CP_201707B.3","Pythium pachycaule",7
"438","CP_201707B.3","Rhizosolenia setigera",632
"439","CP_201707B.3","Skeletonema cf. pseudocostatum",10
"440","CP_201707B.3","Smithora naiadum",87
"441","CP_201707B.3","Thalassiosira nordenskioeldii",59
"442","CP_201707B.3","Thelepus sp. CMC01",131
"443","CP_201707B.3",NA,9000
"444","CP_201707C.1","Aequorea sp. MW-2012",31
"445","CP_201707C.1","Balanus balanus",326
"446","CP_201707C.1","Bathycoccus prasinos",26
"447","CP_201707C.1","Chaetoceros socialis",122
"448","CP_201707C.1","Chaetoceros sp. MBTD-CMFRI-S045",38
"449","CP_201707C.1","Chattonella subsalsa",594
"450","CP_201707C.1","Clytia gracilis",331
"451","CP_201707C.1","Corallina vancouveriensis",107
"452","CP_201707C.1","Coscinodiscus wailesii",2400
"453","CP_201707C.1","Cylindrotheca closterium",130
"454","CP_201707C.1","Dictyocha speculum",527
"455","CP_201707C.1","Ditylum brightwellii",6
"456","CP_201707C.1","Egregia menziesii",12
"457","CP_201707C.1","Enophrys bison",420
"458","CP_201707C.1","Eucampia zodiacus",8
"459","CP_201707C.1","Grammonema striatula",20
"460","CP_201707C.1","Hecatonema maculans",37
"461","CP_201707C.1","Heterocapsa rotundata",17
"462","CP_201707C.1","Lacuna vincta",647
"463","CP_201707C.1","Laminariocolax aecidioides",19
"464","CP_201707C.1","Mazzaella splendens",21
"465","CP_201707C.1","Membranipora membranacea",268
"466","CP_201707C.1","Micromonas pusilla",754
"467","CP_201707C.1","Nereocystis luetkeana",330
"468","CP_201707C.1","Nitzschia cf. promare",213
"469","CP_201707C.1","Orthopyxis integra",4077
"470","CP_201707C.1","Paracalanus sp. C AC-2013",9
"471","CP_201707C.1","Paramoeba pemaquidensis",233
"472","CP_201707C.1","Phaeocystis antarctica",392
"473","CP_201707C.1","Phaeocystis globosa",27
"474","CP_201707C.1","Poteriospumella lacustris",17
"475","CP_201707C.1","Protoperidinium cf. depressum",55
"476","CP_201707C.1","Pseudocalanus newmani",2287
"477","CP_201707C.1","Pyropia nereocystis",5
"478","CP_201707C.1","Pythium pachycaule",34
"479","CP_201707C.1","Pythium tracheiphilum",1102
"480","CP_201707C.1","Rhizosolenia setigera",945
"481","CP_201707C.1","Skeletonema japonicum",63
"482","CP_201707C.1","Smithora naiadum",469
"483","CP_201707C.1","Thalassiosira nordenskioeldii",383
"484","CP_201707C.1","Thecamonas trahens",38
"485","CP_201707C.1","Thelepus sp. CMC01",1870
"486","CP_201707C.1","Triparma laevis",507
"487","CP_201707C.1",NA,44939
"488","CP_201707C.2","Ammodytes hexapterus",1799
"489","CP_201707C.2","Attheya longicornis",97
"490","CP_201707C.2","Balanus balanus",2481
"491","CP_201707C.2","Chaetoceros socialis",693
"492","CP_201707C.2","Chaetoceros sp. MBTD-CMFRI-S045",9
"493","CP_201707C.2","Chattonella subsalsa",465
"494","CP_201707C.2","Chondracanthus exasperatus",31
"495","CP_201707C.2","Chrysochromulina sp. CCMP291",449
"496","CP_201707C.2","Cliona chilensis",140
"497","CP_201707C.2","Clytia gracilis",227
"498","CP_201707C.2","Coscinodiscus wailesii",1871
"499","CP_201707C.2","Cylindrotheca closterium",29
"500","CP_201707C.2","Ditylum brightwellii",596
"501","CP_201707C.2","Egregia menziesii",7
"502","CP_201707C.2","Grammonema striatula",29
"503","CP_201707C.2","Hecatonema maculans",18
"504","CP_201707C.2","Lacuna vincta",609
"505","CP_201707C.2","Micromonas pusilla",557
"506","CP_201707C.2","Minutocellus polymorphus",2517
"507","CP_201707C.2","Naineris dendritica CMC02",200
"508","CP_201707C.2","Nereocystis luetkeana",289
"509","CP_201707C.2","Nitzschia cf. promare",76
"510","CP_201707C.2","Orthopyxis integra",130
"511","CP_201707C.2","Paracalanus sp. C AC-2013",14
"512","CP_201707C.2","Phaeocystis globosa",56
"513","CP_201707C.2","Platichthys stellatus",372
"514","CP_201707C.2","Poteriospumella lacustris",18
"515","CP_201707C.2","Protoperidinium cf. depressum",129
"516","CP_201707C.2","Pseudocalanus newmani",3023
"517","CP_201707C.2","Pythium tracheiphilum",866
"518","CP_201707C.2","Rhizosolenia setigera",888
"519","CP_201707C.2","Smithora naiadum",954
"520","CP_201707C.2","Thelepus sp. CMC01",89
"521","CP_201707C.2","Wildemania amplissima",18
"522","CP_201707C.2","Wildemania sp. 5POR",212
"523","CP_201707C.2",NA,49827
"524","CP_201708A.1","Acartia longiremis",257
"525","CP_201708A.1","Arca avellana",12
"526","CP_201708A.1","Bathycoccus prasinos",153
"527","CP_201708A.1","Chaetoceros socialis",120
"528","CP_201708A.1","Chaetoceros sp. MBTD-CMFRI-S062",271
"529","CP_201708A.1","Chattonella subsalsa",8
"530","CP_201708A.1","Coscinodiscus wailesii",15
"531","CP_201708A.1","Dictyocha speculum",93
"532","CP_201708A.1","Heterocapsa rotundata",15
"533","CP_201708A.1","Macoma nasuta",99
"534","CP_201708A.1","Micromonas pusilla",412
"535","CP_201708A.1","Minutocellus polymorphus",723
"536","CP_201708A.1","Paracalanus sp. C AC-2013",5
"537","CP_201708A.1","Phaeocystis antarctica",999
"538","CP_201708A.1","Phaeocystis globosa",4
"539","CP_201708A.1","Pseudo-nitzschia hasleana",41
"540","CP_201708A.1","Pseudocalanus newmani",783
"541","CP_201708A.1","Pseudochattonella farcimen",7
"542","CP_201708A.1","Pythium tracheiphilum",27
"543","CP_201708A.1","Rhizosolenia setigera",175
"544","CP_201708A.1","Saxidomus gigantea",5
