species,nonnative,Hash
Pyropia fallax,0,8b840ebf9be71fa8c1742747bb135b1d419c2f24
Acrochaetium arcuatum,0,6f6ff49e1f9584d2a3482a8649c13ae50bdd6be1
Anisolpidium ectocarpii,0,NA
Leitoscoloplos pugettensis CMC01,0,7c676680197b60413b07f27d51d465c1366265c3
Petalonia fascia,0,a419c48e8f2f74d8779250f10300758e6cfb684f
Pisaster ochraceus,0,c7fd0efaaeea3e37f9b44a97a2c0fdd1582e9462
Pterosiphonia bipinnata,0,e9dd2e0184c92fac4728650509f30fe68e1eeae8
Rhodotorula taiwanensis,0,1dbc86d67295c0e72afdfb00d7d89771966ea6f3
Boccardia proboscidea,0,e3b5538e08b616a75f876dd93fc4431a1aa4a7cf
Ectocarpus siliculosus,0,NA
Lacuna vincta,0,6d576b6b0612be29d295752f6aa2ec7869ef35d4
Littorina sitkana,0,3f50cfe214160ace51e8a7cefe49445a40fb2a0a
Mesocentrotus franciscanus,0,a19bfe601d7dd26722164159d592001cfe58585f
Nicolea zostericola,0,NA
Orthopyxis integra,0,2f84add91ebf755c7df2d227ba1d13769c0d05f9
Orthopyxis integra,0,5cc9d399de1658287868ca10ce9eedb9d2c95b64
Odonthalia floccosa,0,cc0a94bf8c7fe1b4274b2d44adec6891e8451b38
Phacellophora camtschatica,0,b5c54c111eb9ed6b896dad8022f1ae1a3d6ae0cf
Penicillium rubens,0,6bc93b2e3701300c6d46e4768655b3cbd48866ec
Phytophthora riparia,0,NA
Eucampia zodiacus,0,0e7017ec97772687a238df6c987629206c6f698c
Devaleraea mollis,0,eaae1f1cb6f3efa59e1321422cc5d1b54f8d1ed6
Evasterias troschelii,0,38a7c1029a37241bb44b8ff9e629c30629f97584
Gallus gallus,0,344467a60c385dcb1665556874a4309471e827cd
Leptasterias hexactis,0,d5d12752e9dca5a62f964da275267d617e480c48
Mayamaea permitis,0,NA
Obelia bidentata,0,NA
Acartia californiensis,0,74fea00423c69e46f5f59c6088febdf0e324db0b
Acartia californiensis,0,527965b7f2fe5aefd367eea6c8be6708ada10a74
Acartia californiensis,0,2f2be83abb26597c3ffba3f921150ff6d5108ebe
Aphanomyces sp. BOLD:AAO9952,0,NA
Cymatogaster aggregata,0,ffa9af3c2e6fcacb587d5aa3b7b6b27b726ffdfb
Dodecaceria sp. CMC01,0,b3d6bdb1b90236c17bbf72dc8cda864e031ee959
Eunice valens,0,984c43b2fbaf89effac01093a4f20c9d4bfbbb39
Heterosigma akashiwo,0,c9e04f71ace1eca46cf3fdbb6bcf6762e0d91615
Mazzaella rosea,0,6de499d8a5eff4e6eff8774035188ce6540ddad0
Mazzaella rosea,0,e86b6f8a3d05c6a3e0cacb90d55d4e4345de2888
Mazzaella sp. GWS-2013b,0,f30efaeb62b24739ad238af5eeb96b819a472879
Microcladia coulteri,0,0978d080bb77b02c98a52779fbecaa639f7c255f
Naineris dendritica CMC02,0,7c8adf41bd8385562173c4dd20d71e04630ba0c5
Nitzschia palea,0,NA
Prionitis sternbergii,0,2b47fc7565abc8302682597c2b793831e5ee4189
Pythium acanthicum,0,NA
Sellaphora bacillum,0,NA
Chrysaora melanaster,0,06400fe697d75160ec54a3513115a9a143472b7d
Chrysaora melanaster,0,fc2ab513b90b22761785b93243b60a7b4e8fb51b
Enophrys bison,0,4b7f78065a8f5fe8ee11138959cfdc1b110f979f
Mastocarpus alaskensis,0,61c1197812c92a11d16e6d55b37359f38acce246
Pyropia perforata,0,0398d65193da50a353ba3299eab7ad014139fb39
Stiliger fuscovittatus,0,0d570a956da2ad3d00b103e6bed106d6f42b358e
Styela gibbsii,0,fb94b3b8f50aa9e87a76cc7abb77c27f41dc7f1e
Synchaetomella acerina,0,15df11e1817d0c855643ad74236463117d673f34
Acrochaetium moniliforme,0,b099e5c847b208a8d0570e5039b88cfaeddb5ad3
Callophyllis flabellulata,0,4041289da01feddac1f9633ea0d0b7ba4be66834
Haliclystus sanjuanensis,0,186312e8f463e24e2f34a6b2b7b57d6a7c65a6f1
Haliclystus sanjuanensis,0,547015bbfabed0f66a78e1e104a9e0a175d0501b
Hemipodia simplex,0,147e973e714174591cb6dbced35312f6d1c69ac1
Liparis florae,0,eb1f533175e4b7d11450ca83297f4149986f1f1b
Nanomia bijuga,0,0445b0faaa5c1ce2a079b6325951f55ba36ffb68
Oligocottus maculosus,0,f4ec0e657df713db53c9d4540043e5ab8bee3849
Orthocladius sp. BOLD-2016,0,2a467913d5751f2ac544ca7bba4b09ed0813def5
Phytophthora megasperma,0,NA
Polycirrus sp. CMC05,0,NA
Pyropia nereocystis,0,46d2a64a8cbef14ff349ac80418c17419173fdbb
Salispina spinosa,0,NA
Schistomeringos longicornis,0,367c063b255e49d3a487022236ceacf69eec5207
Thelepus cincinnatus,0,NA
Tresus capax,0,10aee0d90dbf8de29844d17f4f82f7cc34002ae3
Ammodytes hexapterus,0,3e78388f57123893f6ce2171843af16a80349404
Callithamnion pikeanum,0,f58c3cbf955b786acc9189963d32874cf03fc439
Carcinonemertes errans,0,e6903b14e2e8e86a670dd45cfec4f2dd60bf41ce
Coryne eximia,0,9ce1ab4e0f6cb99c549f9ef7a35e7f3405add1e3
Cystoseira geminata,0,1d2ff288402489b5ced41d788ce606072affd770
Glycera sp. CMC03,0,6ceb9fdc89d836080cd49030124695057a315af9
Haptoglossa zoospora,0,NA
Hypomesus pretiosus,0,97637b3b3617dae19c95a09777be76181191bf63
Myrionema balticum,0,3d176fc7382e5e99a5383f0d57c5fee1b7e4f247
Nassarius mendicus,0,cd0da87e3ee81e62c05d08050e85ea1beb15b1ce
Pinnularia acrosphaeria,0,NA
Platichthys stellatus,0,dea4237b6dd9c7285b505019035d80dfb716b877
Polyneura latissima,0,a78c3f8646003e70cf09ec658c23a7397dcc6c6f
Schizobranchia insignis,0,2f8238e8b72201b38768d46b32b1266ddc892f0c
Anisolpidium rosenvingei,0,b43effe3a5dcd00eb08c6dfd10eb1c2fc168320f
Articulospora tetracladia,0,9338ed87b44573795d41524372ee15bfcc49364d
Calliarthron tuberculosum,0,ea0cc4e8880f33b8fd0bf9ffd8430d876ed0c224
Cochliopodium larifeili,0,697e2bef668228a7655d63bef9fa5bb0ff490323
Compsomyax subdiaphana,0,00c6d6146ca4766fd548cfe45211b619813e0f11
Cordyceps militaris,0,NA
Gomphonema parvulum,0,f1d280721627963701aa922c0a050849afd0a665
Hartmannella cantabrigiensis,0,NA
Lagenidium giganteum,0,NA
Lepidodinium chlorophorum,0,e69134699e3763f1f81217eb2c43c05281bd67aa
Manania gwilliami,0,df98f92ef520ee3147c6814aa29ce64bf6b5dcc9
Megacyclops viridis,0,NA
Oncorhynchus tshawytscha,0,e8ee68aa90303a35624aef553962c5af269d0e99
Ophelina acuminata,0,415bf12be0651ea9f8b4f005b02a1c1aa100860c
Peronospora violae,0,NA
Pinnularia subanglica,0,NA
Proboscidactyla flavicirrata,0,fa58c01894cf47c0a58103c1a91cb2d950a87408
Pseudo-nitzschia cuspidata,0,95ff4612e044ce701224559161b0fee270440df0
Pseudolithophyllum sp. 2whidbeyense,0,3b7fdeeea659acb454eff410e975aa96f084dfa7
Pythium periplocum,0,NA
Rhinogobiops nicholsii,0,bc05e30242eb908d09ed41d9387852aa805762c0
Rhodomonas salina,0,NA
Scolelepis squamata,0,14c5fa6b6cb51bb37f9f85c0a46c8208a9ca0df7
Scolelepis squamata,0,763eb354ad2e4f0a99e6e43c702440c2a2d6bf4d
Scolelepis squamata,0,bc5419322ab84e003b8e442edcfaebaf67115854
Thalassiosira pseudonana,0,1f13f7394b884ffdf4d25c0595e24ac673000d2f
Thysanoessa raschii,0,e85fabad965ec0be53b246e6cbd05d111c65e8b1
Trebouxia aggregata,0,09d16eb32cdd4760c348a0f9042951bffd8e299e
Bothrioneurum vejdovskyanum,0,4bdcf608e587a4a357afade1ee494d2f7b2ab877
Campanularia volubilis,0,e961acd8ab0cb59fa41a927d80c45cef03d59341
Cancer productus,0,a0e0ca461c55fe2fa715aa849ba3e299f0b417d5
Cladophialophora bantiana,0,14cc7e45d30a7a560a941d41550d65669273de37
Cladophialophora bantiana,0,c391385f2fee5c8bf43b7299e18a8d28dccd7b8f
Clunio tsushimensis,0,e553d555493a3cc20f43ffa9a4acf7432e2cb1ff
Crepipatella lingulata,0,9cfd9515704a0e0b3a69656fb76e9beba9bb1486
Cryptocotyle lingua,0,f8e230c569b132d41930401c9deacad90391e0c2
Dialonectria episphaeria,0,f133e70abb5c426a474820d436ac9b57b6591525
Egregia menziesii,0,e681061cc41d62caa1c57394a428db44517c5608
Evadne nordmanni,0,0d5a2b9078937a5f710bae6768072e3908ce7f58
Galactomyces candidum,0,fc9fed56b0203902b5eff4eca28b358d4419813a
Gelidium coulteri,0,8b535a05b93a1a2d02bbae6a1182bd73fea8ceb8
Halophytophthora avicenniae,0,5b394a7063052fb4e5333959b41c90ab5b2f4c5c
Hypogymnia vittata,0,359babd3ef65d5e24df34ce3922530579dcbab25
Maculaura alaskensis,0,7798d5456f70680edda53cd34329423960638ed6
Melosira ambiqua,0,NA
Metridia pacifica,0,3c75a77dca10c472e7abd3482d3cf288f7fb5fe5
Modiolus modiolus,0,d7e5976fd609746687c4c3f655b8dee7cee3e6d0
Myxicola infundibulum CMC02,0,NA
Onchidoris bilamellata,0,8c61b357b250c745e5e6e469c28a9b96d1dd0ce1
Paranemertes californica,0,6cd3dae6bcd1b228c39c696b5ee2005399f5d1a9
Phoronopsis harmeri,0,474de3b8d608ab6fbd912a81481133d4c6b475ea
Phytophthora siskiyouensis,0,NA
Phytophthora sp. 2 EEO-2011,0,NA
Pseudocalanus acuspes,0,e6928c0768a540d0682fa85d5ea4cc8bb3f30fe0
Rhyacodrilus falciformis,0,NA
Sarocladium implicatum,0,fc206c8dd24815230bec06dab9b89c7b31e3a7e0
Scytosiphon lomentaria,0,0997d59def2841b0fd7c7a08fcb688283517c799
Acanthamoeba castellanii,0,d4d1af3d3e299db2fc83ba0a4cad48e8bb68832d
Acila castrensis,0,5444b75d63923dae7a8e6c7c5ae9d89d3189ec63
Acremonium cf. chrysogenum DAOM 226667,0,401143c51643cb02d2e3bbe748b924ef64172205
Aglaja ocelligera,0,063bbfb6e6d3d18940b5a7c9bc8120987b3d5083
Amynthas sp. FJ201111-06,0,NA
Bipalponephtys cornuta,0,c0f08afc879ffb32596b54b998322bb78cae6438
Bossiella frondescens,0,f5d446ee8f6310e92172a7d39ff69ce36bbfee4a
Calanus glacialis,0,ada53d74d2911c95feba85264ba7c8a74254c46b
Chironomidae sp. BOLD:ACC1767,0,419cd299ee09537cc438eb3509ebd19816190259
Chrysaora fuscescens,0,484fe1335a33ea66de3e04e0bc0e5c4770e181cb
Citharichthys sordidus,0,2a59dffd9852b6d4db1eebb07107e68b8f9382d9
Cochliopodium sp. SG-2014,0,NA
Cunea thuwala,0,9393cbf7859bba20c4b049fe7c0a3658ae9798c7
Eucalanus bungii,0,e63d3c091e12d586719f5c48eae4b5491940fcfd
Fistulifera pelliculosa,0,NA
Galathowenia oculata,0,459872f12aa1cf78e8eafa97db881ba6ef6af564
Geminosyllis ohma,0,77bda6fcd09136eee770c779578eee0a8f182e6d
Glarea lozoyensis,0,NA
Halosydna brevisetosa,0,5e6487a6d72735d95996c0407e4ef2e4ef6c63ce
Harmothoe fragilis,0,5e65c11f8ed2211ec507f17ba017272300555da4
Leptosynapta clarki,0,0fa20cfb64ffaab9b14558297dd23dd85711560e
Marionina sp. F LM-2012,0,NA
Melanosiphon intestinalis,0,b5fff63b103fe3d9afabc85324d72989e386a45b
Metridium senile,0,466f304488f37975f504849b54e17b7cbd4d2f52
Microgadus proximus,0,4a8a0c4ec6659ae0f636b401de956f70f5c2143f
Nais communis/variabilis complex sp. A1,0,880f9f1ecaf906c946b4b02c00e412509e919b42
Nais elinguis,0,1e8dca7c8ae7af0b9956b7946da6cdc7cbb7e050
Octolasion tyrtaeum,0,4c7eaa94d2773a537d1194a18115b4c1a1a29d09
Pedospumella encystans,0,NA
Phascolosoma agassizii,0,55ce23bb18864a147fe27cb9a45fafb5fd8072ba
Phoca vitulina,0,24067aaaff3572d8d40b6c82d133203279e26495
Phytophthora bilorbang,0,9f19d8b35f541d1c3e67a5a609543272edf4be60
Phytopythium helicoides,0,NA
Pisaster brevispinus,0,0083e370a92ac9df70edcc183e82e0c522a07fc4
Plectus aquatilis,0,NA
Plumularia lagenifera,0,2ccfe38a0a13cb63f74087276dbd1461b5433e3b
Polydora cornuta,0,cf2a638277bc24f2ecebfb8a4ea248835452f508
Prionospio steenstrupi,0,d59e27e92659c6afe1571881c53729273683e72c
Pseudobradya attenuata,0,NA
Pseudocalanus mimus,0,210bc1b091892cccfaec34166993dca9f2e9caef
Pythium aff. diclinum,0,NA
Pythium contiguanum,0,989def6c1d03c22be22bf5834388221e6cfc3c58
Rhodophysema kjellmanii,0,fd05bdceb9694a94ff577e82c205951e3e3890ec
Rhodoptilum plumosum,0,d80692b0c68a2282490bbac4cb9931ac3a3441dc
Rostanga pulchra,0,c79256f7823292157a90f0fc328f3e1370fe7645
Soranthera ulvoidea,0,0c4c86876b1962866f38ca40250359cc2b84e5c4
Spongospora subterranea,0,NA
Tonicella lineata,0,ec24622956048262c3cc53232ac53a4ccd2bad37
Tortanus discaudatus,0,da4d786be07787b1a967d25820675a0e7afb580e
Urile penicillatus,0,1b77eab6ffdc983da74857df2b9c3a1e1aab8029
Gracilaria vermiculophylla,1,a89a09379d8d22efdefd9f06f1c4f04c80da5c65
Gracilaria vermiculophylla,1,4f4b6d2cc275f667463d2302c83bedbcaeac9885
Ruditapes philippinarum,1,4b8d264bec216fd6c88138262b8e42f35fa1bac8
Ruditapes philippinarum,1,766bbeedf2bf202d73588765a7ad9c5e072e9eac
Ruditapes philippinarum,1,5bdcdebc48a8cac1c5f5ef5be7b5b0db9fbfc269
Ruditapes philippinarum,1,eb6e154ad3783ad881b92fa8986ea1e517cfd566
Ruditapes philippinarum,1,35b7453fcd915bb0509c6b56085875eb611a9236
Caulacanthus ustulatus,1,fcd05564ba6afffcf9f8dece434f4c9f55425ed7
Nuttallia olivacea,1,3bd102092cf271a7c30088a5026020b63286429c
Azumapecten farreri,0,NA
Crassostrea gigas,1,d40e19f66e76cc54b02ae688174877657d1bdd5e
Crassostrea gigas,1,1023c8c3c9ea3135a0034be5ad9598fdbe47316c
Callithamnion corymbosum,1,5ff69e9f91d52b7ae4c76e89a79d1b67b44b0fb2
Monocorophium acherusicum,1,6f09afda42df08e5dbcce46aaa716e3203c03cf9
Gelidiophycus freshwateri,1,401056fec673fe4aaa1bd46840d87fbc0d3f7921
Botrylloides violaceus,1,2b7277cd2832663c69145711f7eccfc6f45d5f12
Loxothylacus panopaei,0,NA
Notheia anomala,0,NA
Arca avellana,0,c413e4b99630726d0a6c6100c5db9ecc1eb21703
Bougainvillia muscus,1,a2ff91ae83b266521461fb0185281aaa5e963cba
Clytia folleata,0,NA
Lomentaria hakodatensis,1,453101246944b5d08b86386f5f6734041b3f4604
Mya arenaria,1,156fd30ac19d7f0bb246fa54bbbcea3524ee0c1b
Mya arenaria,1,a57ad44d190c2f7139c4333b5ea840b5d60db0e8
Mya arenaria,1,cb1cf4872d99436a87d7d490eb9ad43a9569a9d7
Lacuna pallidula,0,6967a4dcdb02072eaec591fbbe4274ee4d91a0f1
Bursaphelenchus cocophilus,low,NA
Gelidium vagum,1,f1f7807a1cbe3bf237818f85518b8ddb8fd1d38b
Macoma petalum,0,NA
Musculista senhousia,1,9fb80495589efb61c1089550cb300c9a9a5b7749
Pennaria disticha,0,NA
Striaria attenuata,0,NA
Aphroditella hastata,0,e87d5cf581f6dc10adc704aa99c7d57d334065c4
Gari maculosa,0,6810c816e8147a8c6ce93f63f0f8ffcbf949c056
Hediste diadroma,1,5f3f8299e1a6a96e41031f6b44a5327e40b40507
Melanothamnus harveyi,1,5307dd7515ffa8b5d58717a810b754065eec759b
Mytilicola orientalis,1,0124f9c1e949536ce587cd038df6e6f635a8a7d8
Peltogaster paguri,0,0c80c3d1c3e4ea78badcbf7c4532267fb7f45d81
Minutocellus polymorphus,low,9c1b08211a76599faa4a6763b8c564f85d586b36
Bathycoccus prasinos,low,11a112ced1c85e620f6d97d82281a1bb58614e67
Paracalanus sp. C AC-2013,low,a541fd228ef7d1d712ad202623c1590a3c883377
Chattonella subsalsa,low,135564e9c33f7abcb19bbdbfc571af0ea2c77f82
Coscinodiscus wailesii,low,fc6da59f14ed9fb7c40da39ea9e462ae630cf8af
Poteriospumella lacustris,low,b57949f2759ef72fe986ab28e641f624ddef6661
Pseudochattonella farcimen,1,af55f83e8bc1dae6fd7e3d9c3ce94c1930c87b98
Skeletonema dohrnii,low,d21137b6a1acb9f0513ec20b4fb777f3188c446c
Nitzschia cf. promare,low,ee5ff68ad7d97daf76700ed1c34a9ef3c61fea72
Phaeocystis globosa,low,4dc52fdc04ae6b5ca0069b00c0ed9856e4cc23c0
Attheya longicornis,low,223a220178734017a25d5932cf30f478aae29b05
Pycnococcus provasolii,low,d91e4f5a7edc004a4ac60506d91bf2a3ed5b17f1
Skeletonema japonicum,low,0a6c39c31b47ebe9d9f2ba838244afc7f3617ffd
Skeletonema japonicum,low,6aafb6c5f7fd2dcecee1e0e6ed1c8b8bffc7422f
Hincksia hincksiae,low,8a17c79fb1ddb2dac42e79d554c750133cfe1d6f
Pedospumella sinomuralis,low,99d0c9a7d790e0bb9cf77ee650ade4d376733997
Asterionellopsis guyunusae,low,46f9cececcf3ecfcc4d67b28ae58afdeac24b064
Prasinoderma coloniale,low,6ac00f203d56255090ad6a9df316573dfb7ade1c
Thecamonas trahens,low,6f7865ace9284f007b082a1045286789516f5ef5
Cymbomonas tetramitiformis,low,4db7fc5cafa31f3cd393e04977faead7e2eec40e
Grammonema striatula,low,e76c4d005a5220e71b2798ac024032cd984d4af0
Paramoeba pemaquidensis,low,ccca0c1d6b4226ba295f6789b7b7fedbb85f4e74
Parvamoeba rugata,low,265856eacca62697440bde80d28a7d47903564e3
Laminariocolax aecidioides,low,87ec3348af10b5a1c0ee901ba18700fd01a084ff
Skeletonema cf. pseudocostatum,low,48238b65055a8a65e88dcab3a9c221a4a21c94fb
Navicula glaciei,low,db65972544a4360df1927aefbcf492d6ef1a0cf3
Asterionellopsis tropicalis,low,b9d0ea5aedd20587ed0915a9d0db054403e12ee6
Leucocryptos marina,low,b3e33e8dd0e662ce86effc0e615850ea1a5f71a5
Cafeteria roenbergensis,low,6404f3fa9d01405dad113b2d23029c9c90bbc531
Microspongium alariae,low,f0177b12f93b06178b1911f6b1d779de2e5211d8
Phyllodoce medipapillata,low,be75605c81222fc185b302bf7e5ac9090289e946
Cyphoderia cf. compressa,low,da1b7df21569fdcd247dfe83f3730568273fed92
Fistulifera solaris,low,d74e20176e457bdeb455a6e10f3b9d6285a59aa1
Halicyclops itohi,low,b913bf7aad6e9b8117e5e240a1aefc0a962997d5
Platyias quadricornis,low,NA
Nitokra spinipes,1,71358993d181845a897ce83e02c218fe18c41cef
Pinnularia parvulissima,low,NA
Capitella nonatoi,low,caf81fc24f29d06008d821493f3c91f9ff6aefe8
Haslea ostrearia,low,c569dc88b4317e493987fecd0ecd46b385ecf112
Hydra circumcincta,low,2ab2df77a029ab2205df4e82078c684697d46f5f
Ismaila chaihuiensis,low,d37588427486d34075380da02e16453d4ee919c2
Keratella cochlearis,low,9b1c328fc7697f9025e287f88d447a6746446c7e
Neochromadora poecilosomoides,low,439bb1b8a2393ea1edaa381f7c5b03388c2c25d5
Proceraea okadai,low,17c1f3e1117f994372dc61f7bf165fb9add491d5
Melosira nummuloides,0,cd442ae8372840ec1ce38b407aa06db88a292014
Melosira nummuloides,0,b8748f1c0f496c73ca809f8f309548e62bc89e6b
Cliona chilensis,0,8647a587597a7af76d37057ad104d6aace8702dd
Stelligera rigida,possible,a68ca700b401e06e23bdde27d4756019a1e3a0eb
Hecatonema maculans,0,42bb447809611e17c60a33972d92a80fdee13bb0
Haramonas dimorpha,0,NA
