species,sample,eDNA_index
Acartia longiremis,SA_201807,0.155095226736747
Acartia longiremis,TR_201703,0
Acartia longiremis,TR_201705,6.90605400677141e-4
Acartia longiremis,TR_201706,0
Acartia longiremis,TR_201707,0
Acartia longiremis,TR_201708,0
Acartia longiremis,TR_201709,0
Acartia longiremis,TR_201711,0
Acartia longiremis,TR_201801,0
Acartia longiremis,TR_201803,0.00269764046090142
Acartia longiremis,TR_201805,0
Acartia longiremis,TR_201807,0
Acartia longiremis,TW_201703,0
Acartia longiremis,TW_201705,0
Acartia longiremis,TW_201706,0
Acartia longiremis,TW_201707,0
Acartia longiremis,TW_201708,0
Acartia longiremis,TW_201709,0
Acartia longiremis,TW_201711,0
Acartia longiremis,TW_201801,0
Acartia longiremis,TW_201803,0
Acartia longiremis,TW_201805,0.00114633539238786
Acartia longiremis,TW_201807,0
Acrochaetium arcuatum,CP_201706,0.153869918606286
Acrochaetium arcuatum,CP_201707,0.500774645820302
Acrochaetium arcuatum,CP_201708,0
Acrochaetium arcuatum,CP_201709,0
Acrochaetium arcuatum,CP_201710,0
Acrochaetium arcuatum,CP_201711,0
Acrochaetium arcuatum,CP_201801,0
Acrochaetium arcuatum,CP_201803,0.0728311246505984
Acrochaetium arcuatum,CP_201805,0.051545787986488
Acrochaetium arcuatum,CP_201807,0.308807156912447
Acrochaetium arcuatum,FH_201706,0
Acrochaetium arcuatum,FH_201707,0
Acrochaetium arcuatum,FH_201708,0.126443970897513
Acrochaetium arcuatum,FH_201709,0
Acrochaetium arcuatum,FH_201710,0
Acrochaetium arcuatum,FH_201711,0
Acrochaetium arcuatum,FH_201801,0
Acrochaetium arcuatum,FH_201803,0
Acrochaetium arcuatum,FH_201805,0
Acrochaetium arcuatum,FH_201807,0
Acrochaetium arcuatum,LK_201706,0.953545928017463
Acrochaetium arcuatum,LK_201707,0
Acrochaetium arcuatum,LK_201708,0
Acrochaetium arcuatum,LK_201709,1
Acrochaetium arcuatum,LK_201710,0.319217184300601
Acrochaetium arcuatum,LK_201711,0.00639679513971012
Acrochaetium arcuatum,LK_201801,0
Acrochaetium arcuatum,LK_201803,0.119693781860708
Acrochaetium arcuatum,LK_201805,0
Acrochaetium arcuatum,LK_201807,0
Acrochaetium arcuatum,LL_201703,0
Acrochaetium arcuatum,LL_201705,0
Acrochaetium arcuatum,LL_201706,0
Acrochaetium arcuatum,LL_201707,0
Acrochaetium arcuatum,LL_201708,0
Acrochaetium arcuatum,LL_201709,0
Acrochaetium arcuatum,LL_201710,0
Acrochaetium arcuatum,LL_201711,0
Acrochaetium arcuatum,LL_201801,0
Acrochaetium arcuatum,LL_201803,0
Acrochaetium arcuatum,LL_201805,0
Acrochaetium arcuatum,LL_201807,0
Acrochaetium arcuatum,PO_201703,0
Acrochaetium arcuatum,PO_201705,0
Acrochaetium arcuatum,PO_201706,0
Acrochaetium arcuatum,PO_201707,0
Acrochaetium arcuatum,PO_201708,0
Acrochaetium arcuatum,PO_201709,0
Acrochaetium arcuatum,PO_201711,0
Acrochaetium arcuatum,PO_201801,0
Acrochaetium arcuatum,PO_201803,0
Acrochaetium arcuatum,PO_201805,0
Acrochaetium arcuatum,PO_201807,0
Acrochaetium arcuatum,SA_201703,0
Acrochaetium arcuatum,SA_201705,0
Acrochaetium arcuatum,SA_201706,0
Acrochaetium arcuatum,SA_201707,0
Acrochaetium arcuatum,SA_201708,0
Acrochaetium arcuatum,SA_201709,0
Acrochaetium arcuatum,SA_201711,0
Acrochaetium arcuatum,SA_201801,0
Acrochaetium arcuatum,SA_201803,0
Acrochaetium arcuatum,SA_201805,0
Acrochaetium arcuatum,SA_201807,0
Acrochaetium arcuatum,TR_201703,0
Acrochaetium arcuatum,TR_201705,0
Acrochaetium arcuatum,TR_201706,0
Acrochaetium arcuatum,TR_201707,0
Acrochaetium arcuatum,TR_201708,0
Acrochaetium arcuatum,TR_201709,0
Acrochaetium arcuatum,TR_201711,0
Acrochaetium arcuatum,TR_201801,0
Acrochaetium arcuatum,TR_201803,0
Acrochaetium arcuatum,TR_201805,0
Acrochaetium arcuatum,TR_201807,0
Acrochaetium arcuatum,TW_201703,0
Acrochaetium arcuatum,TW_201705,0
Acrochaetium arcuatum,TW_201706,0
Acrochaetium arcuatum,TW_201707,0
Acrochaetium arcuatum,TW_201708,0
Acrochaetium arcuatum,TW_201709,0
Acrochaetium arcuatum,TW_201711,0
Acrochaetium arcuatum,TW_201801,0
Acrochaetium arcuatum,TW_201803,0
Acrochaetium arcuatum,TW_201805,0
Acrochaetium arcuatum,TW_201807,0
Aequorea sp. MW-2012,CP_201706,0.0751947905878345
Aequorea sp. MW-2012,CP_201707,0.0029576766109802
Aequorea sp. MW-2012,CP_201708,0.00146731668459251
Aequorea sp. MW-2012,CP_201709,0
Aequorea sp. MW-2012,CP_201710,0
Aequorea sp. MW-2012,CP_201711,0
Aequorea sp. MW-2012,CP_201801,0
Aequorea sp. MW-2012,CP_201803,0
Aequorea sp. MW-2012,CP_201805,0.0255258105808829
Aequorea sp. MW-2012,CP_201807,0
Aequorea sp. MW-2012,FH_201706,7.05149305478792e-4
Aequorea sp. MW-2012,FH_201707,1.01682979866359e-4
Aequorea sp. MW-2012,FH_201708,0
Aequorea sp. MW-2012,FH_201709,0
Aequorea sp. MW-2012,FH_201710,0
Aequorea sp. MW-2012,FH_201711,0
Aequorea sp. MW-2012,FH_201801,0.0035289104083263
Aequorea sp. MW-2012,FH_201803,0
Aequorea sp. MW-2012,FH_201805,0.0214856949866025
Aequorea sp. MW-2012,FH_201807,0
Aequorea sp. MW-2012,LK_201706,1
Aequorea sp. MW-2012,LK_201707,0.00374350699617544
Aequorea sp. MW-2012,LK_201708,0
Aequorea sp. MW-2012,LK_201709,0
Aequorea sp. MW-2012,LK_201710,0
Aequorea sp. MW-2012,LK_201711,0
Aequorea sp. MW-2012,LK_201801,0
Aequorea sp. MW-2012,LK_201803,0
Aequorea sp. MW-2012,LK_201805,0.0022951892748037
Aequorea sp. MW-2012,LK_201807,0
Aequorea sp. MW-2012,LL_201703,0
Aequorea sp. MW-2012,LL_201705,0.104011393945594
Aequorea sp. MW-2012,LL_201706,0.00197388834805574
Aequorea sp. MW-2012,LL_201707,0
Aequorea sp. MW-2012,LL_201708,0
Aequorea sp. MW-2012,LL_201709,0
Aequorea sp. MW-2012,LL_201710,0
Aequorea sp. MW-2012,LL_201711,0
Aequorea sp. MW-2012,LL_201801,0
Aequorea sp. MW-2012,LL_201803,0
Aequorea sp. MW-2012,LL_201805,0
Aequorea sp. MW-2012,LL_201807,0
Aequorea sp. MW-2012,PO_201703,0
Aequorea sp. MW-2012,PO_201705,2.55388223138825e-4
Aequorea sp. MW-2012,PO_201706,0.0222674647433631
Aequorea sp. MW-2012,PO_201707,0
Aequorea sp. MW-2012,PO_201708,0
Aequorea sp. MW-2012,PO_201709,0
Aequorea sp. MW-2012,PO_201711,0
Aequorea sp. MW-2012,PO_201801,0
Aequorea sp. MW-2012,PO_201803,0
Aequorea sp. MW-2012,PO_201805,0.00500720174680861
Aequorea sp. MW-2012,PO_201807,0
Aequorea sp. MW-2012,SA_201703,0
Aequorea sp. MW-2012,SA_201705,0.00572370639986627
Aequorea sp. MW-2012,SA_201706,0
Aequorea sp. MW-2012,SA_201707,0
Aequorea sp. MW-2012,SA_201708,0
Aequorea sp. MW-2012,SA_201709,0
Aequorea sp. MW-2012,SA_201711,0
Aequorea sp. MW-2012,SA_201801,0
Aequorea sp. MW-2012,SA_201803,0
Aequorea sp. MW-2012,SA_201805,0.00303694993267688
Aequorea sp. MW-2012,SA_201807,0
Aequorea sp. MW-2012,TR_201703,0
Aequorea sp. MW-2012,TR_201705,0.013671263551351
Aequorea sp. MW-2012,TR_201706,0
Aequorea sp. MW-2012,TR_201707,0
Aequorea sp. MW-2012,TR_201708,0
Aequorea sp. MW-2012,TR_201709,0
Aequorea sp. MW-2012,TR_201711,0
Aequorea sp. MW-2012,TR_201801,0
Aequorea sp. MW-2012,TR_201803,0
Aequorea sp. MW-2012,TR_201805,0.0100966668273189
Aequorea sp. MW-2012,TR_201807,0
Aequorea sp. MW-2012,TW_201703,0
Aequorea sp. MW-2012,TW_201705,0.0151589221565043
Aequorea sp. MW-2012,TW_201706,0.0487635523585191
Aequorea sp. MW-2012,TW_201707,0
Aequorea sp. MW-2012,TW_201708,0
Aequorea sp. MW-2012,TW_201709,0
Aequorea sp. MW-2012,TW_201711,0
Aequorea sp. MW-2012,TW_201801,0
Aequorea sp. MW-2012,TW_201803,0
Aequorea sp. MW-2012,TW_201805,0
Aequorea sp. MW-2012,TW_201807,0
Apodachlya minima,CP_201706,0.182218671377964
Apodachlya minima,CP_201707,0
Apodachlya minima,CP_201708,0
Apodachlya minima,CP_201709,0
Apodachlya minima,CP_201710,0
Apodachlya minima,CP_201711,0
Apodachlya minima,CP_201801,0
Apodachlya minima,CP_201803,0.0325908728086399
Apodachlya minima,CP_201805,0.867588887874635
Apodachlya minima,CP_201807,0.0296657745208039
Apodachlya minima,FH_201706,0
Apodachlya minima,FH_201707,0
Apodachlya minima,FH_201708,0.0226327378175746
Apodachlya minima,FH_201709,0
Apodachlya minima,FH_201710,0
Apodachlya minima,FH_201711,0
Apodachlya minima,FH_201801,0
Apodachlya minima,FH_201803,0
Apodachlya minima,FH_201805,0
Apodachlya minima,FH_201807,0
Apodachlya minima,LK_201706,1
Apodachlya minima,LK_201707,0.103050164104077
Apodachlya minima,LK_201708,0.047150060768042
Apodachlya minima,LK_201709,0.0128559372448924
Apodachlya minima,LK_201710,0
Apodachlya minima,LK_201711,0
Apodachlya minima,LK_201801,0
Apodachlya minima,LK_201803,0.0390605087791331
Apodachlya minima,LK_201805,0.188660651512324
Apodachlya minima,LK_201807,0
Apodachlya minima,LL_201703,0
Apodachlya minima,LL_201705,0
Apodachlya minima,LL_201706,0
Apodachlya minima,LL_201707,0
Apodachlya minima,LL_201708,0
Apodachlya minima,LL_201709,0
Apodachlya minima,LL_201710,0
Apodachlya minima,LL_201711,0
Apodachlya minima,LL_201801,0
Apodachlya minima,LL_201803,0
Apodachlya minima,LL_201805,0
Apodachlya minima,LL_201807,0
Apodachlya minima,PO_201703,0
Apodachlya minima,PO_201705,0
Apodachlya minima,PO_201706,0
Apodachlya minima,PO_201707,0
Apodachlya minima,PO_201708,0
Apodachlya minima,PO_201709,0.0307133264642886
Apodachlya minima,PO_201711,0
Apodachlya minima,PO_201801,0
Apodachlya minima,PO_201803,0
Apodachlya minima,PO_201805,0
Apodachlya minima,PO_201807,0
Apodachlya minima,SA_201703,0
Apodachlya minima,SA_201705,0
Apodachlya minima,SA_201706,0
Apodachlya minima,SA_201707,0
Apodachlya minima,SA_201708,0
Apodachlya minima,SA_201709,0
Apodachlya minima,SA_201711,0
Apodachlya minima,SA_201801,0
Apodachlya minima,SA_201803,0
Apodachlya minima,SA_201805,0
Apodachlya minima,SA_201807,0
Apodachlya minima,TR_201703,0
Apodachlya minima,TR_201705,0.0113716530069319
Apodachlya minima,TR_201706,0
Apodachlya minima,TR_201707,0
Apodachlya minima,TR_201708,0
Apodachlya minima,TR_201709,0
Apodachlya minima,TR_201711,0
Apodachlya minima,TR_201801,0
Apodachlya minima,TR_201803,0
Apodachlya minima,TR_201805,0
Apodachlya minima,TR_201807,0
Apodachlya minima,TW_201703,0
Apodachlya minima,TW_201705,0
Apodachlya minima,TW_201706,0
Apodachlya minima,TW_201707,0
Apodachlya minima,TW_201708,0
Apodachlya minima,TW_201709,0
Apodachlya minima,TW_201711,0
Apodachlya minima,TW_201801,0
Apodachlya minima,TW_201803,0
Apodachlya minima,TW_201805,0
Apodachlya minima,TW_201807,0
Asterionellopsis guyunusae,CP_201706,0.00672041084540769
Asterionellopsis guyunusae,CP_201707,0
Asterionellopsis guyunusae,CP_201708,0.0165235162083116
Asterionellopsis guyunusae,CP_201709,0
Asterionellopsis guyunusae,CP_201710,0
Asterionellopsis guyunusae,CP_201711,0
Asterionellopsis guyunusae,CP_201801,0.0821346851246814
Asterionellopsis guyunusae,CP_201803,0
Asterionellopsis guyunusae,CP_201805,0
Asterionellopsis guyunusae,CP_201807,0
Asterionellopsis guyunusae,FH_201706,0
Asterionellopsis guyunusae,FH_201707,0
Asterionellopsis guyunusae,FH_201708,0
Asterionellopsis guyunusae,FH_201709,0
Asterionellopsis guyunusae,FH_201710,0
Asterionellopsis guyunusae,FH_201711,0
Asterionellopsis guyunusae,FH_201801,0
Asterionellopsis guyunusae,FH_201803,0
Asterionellopsis guyunusae,FH_201805,0
Asterionellopsis guyunusae,FH_201807,0
Asterionellopsis guyunusae,LK_201706,0
Asterionellopsis guyunusae,LK_201707,0
Asterionellopsis guyunusae,LK_201708,0
Asterionellopsis guyunusae,LK_201709,0
Asterionellopsis guyunusae,LK_201710,0
Asterionellopsis guyunusae,LK_201711,0
Asterionellopsis guyunusae,LK_201801,0
Asterionellopsis guyunusae,LK_201803,0
Asterionellopsis guyunusae,LK_201805,0
Asterionellopsis guyunusae,LK_201807,0
Asterionellopsis guyunusae,LL_201703,0
Asterionellopsis guyunusae,LL_201705,0.0214366872837525
Asterionellopsis guyunusae,LL_201706,0.0768970083233465
Asterionellopsis guyunusae,LL_201707,0
Asterionellopsis guyunusae,LL_201708,0
Asterionellopsis guyunusae,LL_201709,0.0735662798564997
Asterionellopsis guyunusae,LL_201710,0
Asterionellopsis guyunusae,LL_201711,0.0171636446598199
Asterionellopsis guyunusae,LL_201801,0
Asterionellopsis guyunusae,LL_201803,0
Asterionellopsis guyunusae,LL_201805,0
Asterionellopsis guyunusae,LL_201807,0.186857614836823
Asterionellopsis guyunusae,PO_201703,0
Asterionellopsis guyunusae,PO_201705,0
Asterionellopsis guyunusae,PO_201706,0.056133036166755
Asterionellopsis guyunusae,PO_201707,0
Asterionellopsis guyunusae,PO_201708,0
Asterionellopsis guyunusae,PO_201709,1
Asterionellopsis guyunusae,PO_201711,0.00423471652104895
Asterionellopsis guyunusae,PO_201801,0
Asterionellopsis guyunusae,PO_201803,0.115814755663857
Asterionellopsis guyunusae,PO_201805,0
Asterionellopsis guyunusae,PO_201807,0.015404203779372
Asterionellopsis guyunusae,SA_201703,0
Asterionellopsis guyunusae,SA_201705,0.00278222605508003
Asterionellopsis guyunusae,SA_201706,0.0280590570026726
Asterionellopsis guyunusae,SA_201707,0.00185258143707408
Asterionellopsis guyunusae,SA_201708,0.0754578129964451
Asterionellopsis guyunusae,SA_201709,0.0776580518619385
Asterionellopsis guyunusae,SA_201711,0.0430154624202342
Asterionellopsis guyunusae,SA_201801,0
Asterionellopsis guyunusae,SA_201803,0.0364735360475787
Asterionellopsis guyunusae,SA_201805,0
Asterionellopsis guyunusae,SA_201807,0.0777358603091758
Asterionellopsis guyunusae,TR_201703,0
Asterionellopsis guyunusae,TR_201705,0.0282087219780868
Asterionellopsis guyunusae,TR_201706,0.0717775636562877
Asterionellopsis guyunusae,TR_201707,0
Asterionellopsis guyunusae,TR_201708,0
Asterionellopsis guyunusae,TR_201709,0.715618876467235
Asterionellopsis guyunusae,TR_201711,0
Asterionellopsis guyunusae,TR_201801,0
Asterionellopsis guyunusae,TR_201803,0
Asterionellopsis guyunusae,TR_201805,0
Asterionellopsis guyunusae,TR_201807,0
Asterionellopsis guyunusae,TW_201703,0
Asterionellopsis guyunusae,TW_201705,0
Asterionellopsis guyunusae,TW_201706,0.117417329175359
Asterionellopsis guyunusae,TW_201707,0
Asterionellopsis guyunusae,TW_201708,0
Asterionellopsis guyunusae,TW_201709,0
Asterionellopsis guyunusae,TW_201711,0.804906555574127
Asterionellopsis guyunusae,TW_201801,0
Asterionellopsis guyunusae,TW_201803,0
Asterionellopsis guyunusae,TW_201805,0
Asterionellopsis guyunusae,TW_201807,0.0044635803319134
Attheya longicornis,CP_201706,0.00894079296276969
Attheya longicornis,CP_201707,0.0142938039898356
Attheya longicornis,CP_201708,0.0253321373413168
Attheya longicornis,CP_201709,0.00135422551182304
Attheya longicornis,CP_201710,0.00132322518322957
Attheya longicornis,CP_201711,5.59333196248154e-4
Attheya longicornis,CP_201801,0
Attheya longicornis,CP_201803,4.48275939367e-4
Attheya longicornis,CP_201805,0.0290543856527096
Attheya longicornis,CP_201807,0
Attheya longicornis,FH_201706,0.0445332654864711
Attheya longicornis,FH_201707,0.0020603035349209
Attheya longicornis,FH_201708,0.0185053712835409
Attheya longicornis,FH_201709,0
Attheya longicornis,FH_201710,0
Attheya longicornis,FH_201711,9.7565841360406e-4
Attheya longicornis,FH_201801,0
Attheya longicornis,FH_201803,0
Attheya longicornis,FH_201805,0.0700251384843337
Attheya longicornis,FH_201807,2.44820614826665e-4
Attheya longicornis,LK_201706,0.00326658274883383
Attheya longicornis,LK_201707,0.0155788349977995
Attheya longicornis,LK_201708,0.0199964164436981
Attheya longicornis,LK_201709,0
Attheya longicornis,LK_201710,2.74647138936793e-4
Attheya longicornis,LK_201711,0.0514399182217602
Attheya longicornis,LK_201801,0
Attheya longicornis,LK_201803,0.00171301404543826
Attheya longicornis,LK_201805,0.0689073806616093
Attheya longicornis,LK_201807,0
Attheya longicornis,LL_201703,0
Attheya longicornis,LL_201705,0.371814993729814
Attheya longicornis,LL_201706,0
Attheya longicornis,LL_201707,0
Attheya longicornis,LL_201708,0
Attheya longicornis,LL_201709,0.00271621356095324
Attheya longicornis,LL_201710,0
Attheya longicornis,LL_201711,0
Attheya longicornis,LL_201801,0
Attheya longicornis,LL_201803,0.0104009257510616
Attheya longicornis,LL_201805,0
Attheya longicornis,LL_201807,6.79219162268268e-4
Attheya longicornis,PO_201703,0
Attheya longicornis,PO_201705,0.0594618200193002
Attheya longicornis,PO_201706,0.00183190187199213
Attheya longicornis,PO_201707,0
Attheya longicornis,PO_201708,0
Attheya longicornis,PO_201709,0
Attheya longicornis,PO_201711,0.00304781542275215
Attheya longicornis,PO_201801,0.0190744058154484
Attheya longicornis,PO_201803,0.0270767654645003
Attheya longicornis,PO_201805,0
Attheya longicornis,PO_201807,8.39903987501785e-4
Attheya longicornis,SA_201703,0
Attheya longicornis,SA_201705,1
Attheya longicornis,SA_201706,0.0067937997065787
Attheya longicornis,SA_201707,1.61617237315851e-4
Attheya longicornis,SA_201708,0
Attheya longicornis,SA_201709,0
Attheya longicornis,SA_201711,0.0105542529284869
Attheya longicornis,SA_201801,7.78879741941107e-4
Attheya longicornis,SA_201803,0.132733852162297
Attheya longicornis,SA_201805,0.0104663243533407
Attheya longicornis,SA_201807,0.00102308528750317
Attheya longicornis,TR_201703,0
Attheya longicornis,TR_201705,0.113399474946027
Attheya longicornis,TR_201706,0
Attheya longicornis,TR_201707,0
Attheya longicornis,TR_201708,0
Attheya longicornis,TR_201709,0
Attheya longicornis,TR_201711,0
Attheya longicornis,TR_201801,0
Attheya longicornis,TR_201803,0.02871387933175
Attheya longicornis,TR_201805,0.00295661901433859
Attheya longicornis,TR_201807,0
Attheya longicornis,TW_201703,0
Attheya longicornis,TW_201705,0.0449208095689971
Attheya longicornis,TW_201706,0.00132457281619481
Attheya longicornis,TW_201707,0
Attheya longicornis,TW_201708,0
Attheya longicornis,TW_201709,0.00465475659675935
Attheya longicornis,TW_201711,0.0146416424843373
Attheya longicornis,TW_201801,0
Attheya longicornis,TW_201803,0.00735542173352962
Attheya longicornis,TW_201805,0.00279246421178991
Attheya longicornis,TW_201807,0
Aurelia labiata,CP_201706,0.00490220778839707
Aurelia labiata,CP_201707,0
Aurelia labiata,CP_201708,0
Aurelia labiata,CP_201709,0
Aurelia labiata,CP_201710,0
Aurelia labiata,CP_201711,0
Aurelia labiata,CP_201801,0
Aurelia labiata,CP_201803,0
Aurelia labiata,CP_201805,0.0505218556486296
Aurelia labiata,CP_201807,0
Aurelia labiata,FH_201706,0
Aurelia labiata,FH_201707,0.00205627499692394
Aurelia labiata,FH_201708,2.2077924627694e-4
Aurelia labiata,FH_201709,0
Aurelia labiata,FH_201710,0
Aurelia labiata,FH_201711,0
Aurelia labiata,FH_201801,0.00252260176285519
Aurelia labiata,FH_201803,0
Aurelia labiata,FH_201805,0
Aurelia labiata,FH_201807,0
Aurelia labiata,LK_201706,1
Aurelia labiata,LK_201707,0.00674869356893994
Aurelia labiata,LK_201708,1.72478385550149e-4
Aurelia labiata,LK_201709,0
Aurelia labiata,LK_201710,0
Aurelia labiata,LK_201711,0
Aurelia labiata,LK_201801,0
Aurelia labiata,LK_201803,0
Aurelia labiata,LK_201805,0
Aurelia labiata,LK_201807,0.0755983228317128
Aurelia labiata,LL_201703,0
Aurelia labiata,LL_201705,0
Aurelia labiata,LL_201706,0
Aurelia labiata,LL_201707,0
Aurelia labiata,LL_201708,0
Aurelia labiata,LL_201709,0
Aurelia labiata,LL_201710,0
Aurelia labiata,LL_201711,0
Aurelia labiata,LL_201801,0
Aurelia labiata,LL_201803,0
Aurelia labiata,LL_201805,0
Aurelia labiata,LL_201807,0
Aurelia labiata,PO_201703,0
Aurelia labiata,PO_201705,0
Aurelia labiata,PO_201706,0
Aurelia labiata,PO_201707,0
Aurelia labiata,PO_201708,0
Aurelia labiata,PO_201709,0
Aurelia labiata,PO_201711,0.0031361771060326
Aurelia labiata,PO_201801,0
Aurelia labiata,PO_201803,0
Aurelia labiata,PO_201805,0
Aurelia labiata,PO_201807,0
Aurelia labiata,SA_201703,0
Aurelia labiata,SA_201705,0
Aurelia labiata,SA_201706,0
Aurelia labiata,SA_201707,0
Aurelia labiata,SA_201708,0
Aurelia labiata,SA_201709,1.51348852264823e-4
Aurelia labiata,SA_201711,0
Aurelia labiata,SA_201801,0
Aurelia labiata,SA_201803,0
Aurelia labiata,SA_201805,0
Aurelia labiata,SA_201807,0
Aurelia labiata,TR_201703,0
Aurelia labiata,TR_201705,0
Aurelia labiata,TR_201706,0
Aurelia labiata,TR_201707,0
Aurelia labiata,TR_201708,0
Aurelia labiata,TR_201709,0
Aurelia labiata,TR_201711,0
Aurelia labiata,TR_201801,0
Aurelia labiata,TR_201803,0
Aurelia labiata,TR_201805,0
Aurelia labiata,TR_201807,0
Aurelia labiata,TW_201703,0
Aurelia labiata,TW_201705,0
Aurelia labiata,TW_201706,0
Aurelia labiata,TW_201707,0
Aurelia labiata,TW_201708,0
Aurelia labiata,TW_201709,4.0514433935986e-5
Aurelia labiata,TW_201711,0
Aurelia labiata,TW_201801,0
Aurelia labiata,TW_201803,0
Aurelia labiata,TW_201805,0
Aurelia labiata,TW_201807,0
Balanus balanus,CP_201706,0.296814264059066
Balanus balanus,CP_201707,0.311128332581777
Balanus balanus,CP_201708,0
Balanus balanus,CP_201709,0
Balanus balanus,CP_201710,0
Balanus balanus,CP_201711,0
Balanus balanus,CP_201801,0
Balanus balanus,CP_201803,0.919053933991717
Balanus balanus,CP_201805,0.300208744711203
Balanus balanus,CP_201807,5.97996312414292e-4
Balanus balanus,FH_201706,0
Balanus balanus,FH_201707,3.29392074216506e-4
Balanus balanus,FH_201708,0.228455103807853
Balanus balanus,FH_201709,0
Balanus balanus,FH_201710,0
Balanus balanus,FH_201711,0
Balanus balanus,FH_201801,0.00167662884875535
Balanus balanus,FH_201803,0
Balanus balanus,FH_201805,0.0578907200970509
Balanus balanus,FH_201807,0
Balanus balanus,LK_201706,0
Balanus balanus,LK_201707,0
Balanus balanus,LK_201708,0
Balanus balanus,LK_201709,0
Balanus balanus,LK_201710,0
Balanus balanus,LK_201711,1.87528635181712e-4
Balanus balanus,LK_201801,0
Balanus balanus,LK_201803,0.0135222814144822
Balanus balanus,LK_201805,0
Balanus balanus,LK_201807,0
Balanus balanus,LL_201703,0
Balanus balanus,LL_201705,2.56940577555185e-4
Balanus balanus,LL_201706,0
Balanus balanus,LL_201707,0
Balanus balanus,LL_201708,0
Balanus balanus,LL_201709,0
Balanus balanus,LL_201710,0
Balanus balanus,LL_201711,0
Balanus balanus,LL_201801,3.00621729851091e-4
Balanus balanus,LL_201803,0
Balanus balanus,LL_201805,0
Balanus balanus,LL_201807,0.0555013845869152
Balanus balanus,PO_201703,0
Balanus balanus,PO_201705,0
Balanus balanus,PO_201706,0
Balanus balanus,PO_201707,0
Balanus balanus,PO_201708,4.11058133946332e-5
Balanus balanus,PO_201709,0
Balanus balanus,PO_201711,0
Balanus balanus,PO_201801,0.0106014332314725
Balanus balanus,PO_201803,0.322936042981777
Balanus balanus,PO_201805,0
Balanus balanus,PO_201807,0
Balanus balanus,SA_201703,0
Balanus balanus,SA_201705,0.0222541112744034
Balanus balanus,SA_201706,0.0135438619817623
Balanus balanus,SA_201707,0
Balanus balanus,SA_201708,0.0113259384944659
Balanus balanus,SA_201709,1.11697322070879e-4
Balanus balanus,SA_201711,4.21841637044685e-4
Balanus balanus,SA_201801,0
Balanus balanus,SA_201803,3.25337717673757e-4
Balanus balanus,SA_201805,0.0135932308163316
Balanus balanus,SA_201807,0
Balanus balanus,TR_201703,0
Balanus balanus,TR_201705,0.00130659583449469
Balanus balanus,TR_201706,0.106019550627988
Balanus balanus,TR_201707,0
Balanus balanus,TR_201708,0
Balanus balanus,TR_201709,0
Balanus balanus,TR_201711,0
Balanus balanus,TR_201801,0.377132260626572
Balanus balanus,TR_201803,0.065281913666714
Balanus balanus,TR_201805,0
Balanus balanus,TR_201807,0
Balanus balanus,TW_201703,0.00154521852334077
