site,species,nonnative,X,Hash,kingdom,phylum,class,order,family,genus,EarlyLifeMinerology,AdultMinerology,reliability.minerology,trophic_level_fv,group_fv,benthos
TR,Gelidiophycus freshwateri,1,316,401056fec673fe4aaa1bd46840d87fbc0d3f7921,Rhodophyta,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidiophycus,No mineralization,No mineralization,family,undetermined,undetermined,BEN
LL,Gelidium vagum,1,263,f1f7807a1cbe3bf237818f85518b8ddb8fd1d38b,Rhodophyta,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium,No mineralization,No mineralization,species,undetermined,undetermined,BEN
TW,Gelidium vagum,1,263,f1f7807a1cbe3bf237818f85518b8ddb8fd1d38b,Rhodophyta,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium,No mineralization,No mineralization,species,undetermined,undetermined,BEN
LL,Gracilaria vermiculophylla,1,67,a89a09379d8d22efdefd9f06f1c4f04c80da5c65,Rhodophyta,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,No mineralization,No mineralization,species,1,"algae, red",BEN
PO,Gracilaria vermiculophylla,1,67,a89a09379d8d22efdefd9f06f1c4f04c80da5c65,Rhodophyta,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,No mineralization,No mineralization,species,1,"algae, red",BEN
SA,Gracilaria vermiculophylla,1,67,a89a09379d8d22efdefd9f06f1c4f04c80da5c65,Rhodophyta,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,No mineralization,No mineralization,species,1,"algae, red",BEN
TR,Gracilaria vermiculophylla,1,67,a89a09379d8d22efdefd9f06f1c4f04c80da5c65,Rhodophyta,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,No mineralization,No mineralization,species,1,"algae, red",BEN
TW,Gracilaria vermiculophylla,1,67,a89a09379d8d22efdefd9f06f1c4f04c80da5c65,Rhodophyta,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,No mineralization,No mineralization,species,1,"algae, red",BEN
TR,Hediste diadroma,1,166,5f3f8299e1a6a96e41031f6b44a5327e40b40507,Metazoa,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,No mineralization,No mineralization,family,"3, worm",polychaete,BEN
LL,Lomentaria hakodatensis,1,253,453101246944b5d08b86386f5f6734041b3f4604,Rhodophyta,Rhodophyta,Florideophyceae,Rhodymeniales,Lomentariaceae,Lomentaria,No mineralization,No mineralization,species,undetermined,undetermined,BEN
PO,Lomentaria hakodatensis,1,253,453101246944b5d08b86386f5f6734041b3f4604,Rhodophyta,Rhodophyta,Florideophyceae,Rhodymeniales,Lomentariaceae,Lomentaria,No mineralization,No mineralization,species,undetermined,undetermined,BEN
TR,Lomentaria hakodatensis,1,253,453101246944b5d08b86386f5f6734041b3f4604,Rhodophyta,Rhodophyta,Florideophyceae,Rhodymeniales,Lomentariaceae,Lomentaria,No mineralization,No mineralization,species,undetermined,undetermined,BEN
SA,Melanothamnus harveyi,1,62,5307dd7515ffa8b5d58717a810b754065eec759b,Rhodophyta,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Melanothamnus,No mineralization,No mineralization,family,1,"algae, red",PLK
LL,Monocorophium acherusicum,1,245,6f09afda42df08e5dbcce46aaa716e3203c03cf9,Metazoa,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous",species,undetermined,undetermined,BEN
PO,Monocorophium acherusicum,1,245,6f09afda42df08e5dbcce46aaa716e3203c03cf9,Metazoa,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous",species,undetermined,undetermined,BEN
SA,Monocorophium acherusicum,1,245,6f09afda42df08e5dbcce46aaa716e3203c03cf9,Metazoa,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous",species,undetermined,undetermined,BEN
TR,Monocorophium acherusicum,1,245,6f09afda42df08e5dbcce46aaa716e3203c03cf9,Metazoa,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous",species,undetermined,undetermined,BEN
TW,Monocorophium acherusicum,1,245,6f09afda42df08e5dbcce46aaa716e3203c03cf9,Metazoa,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous",species,undetermined,undetermined,BEN
PO,Musculista senhousia,1,82,9fb80495589efb61c1089550cb300c9a9a5b7749,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Musculista,"Amorphous, Aragonite","Aragonite, Calcite",species,3,"bivalve, mussels",BEN
TW,Musculista senhousia,1,82,9fb80495589efb61c1089550cb300c9a9a5b7749,Metazoa,Mollusca,Bivalvia,Mytiloida,Mytilidae,Musculista,"Amorphous, Aragonite","Aragonite, Calcite",species,3,"bivalve, mussels",BEN
LL,Mya arenaria,1,249,156fd30ac19d7f0bb246fa54bbbcea3524ee0c1b,Metazoa,Mollusca,Bivalvia,Myoida,Myidae,Mya,"Amorphous, Aragonite",Aragonite,species,undetermined,undetermined,BEN
SA,Mya arenaria,1,249,156fd30ac19d7f0bb246fa54bbbcea3524ee0c1b,Metazoa,Mollusca,Bivalvia,Myoida,Myidae,Mya,"Amorphous, Aragonite",Aragonite,species,undetermined,undetermined,BEN
LL,Mytilicola orientalis,1,364,0124f9c1e949536ce587cd038df6e6f635a8a7d8,Metazoa,Arthropoda,Hexanauplia,Cyclopoida,Mytilicolidae,Mytilicola,No mineralization,No mineralization,species,3,copepod,PLK
LL,Nitokra spinipes,1,379,71358993d181845a897ce83e02c218fe18c41cef,Metazoa,Arthropoda,Hexanauplia,Harpacticoida,Ameiridae,Nitokra,NA,NA,NA,undetermined,copepod,PLK
TW,Nitokra spinipes,1,379,71358993d181845a897ce83e02c218fe18c41cef,Metazoa,Arthropoda,Hexanauplia,Harpacticoida,Ameiridae,Nitokra,NA,NA,NA,undetermined,copepod,PLK
LK,Nuttallia olivacea,1,300,3bd102092cf271a7c30088a5026020b63286429c,Metazoa,Mollusca,Bivalvia,Veneroida,Psammobiidae,Nuttallia,"Amorphous, Aragonite",Aragonite,genus,undetermined,undetermined,BEN
LL,Nuttallia olivacea,1,300,3bd102092cf271a7c30088a5026020b63286429c,Metazoa,Mollusca,Bivalvia,Veneroida,Psammobiidae,Nuttallia,"Amorphous, Aragonite",Aragonite,genus,undetermined,undetermined,BEN
PO,Nuttallia olivacea,1,300,3bd102092cf271a7c30088a5026020b63286429c,Metazoa,Mollusca,Bivalvia,Veneroida,Psammobiidae,Nuttallia,"Amorphous, Aragonite",Aragonite,genus,undetermined,undetermined,BEN
SA,Nuttallia olivacea,1,300,3bd102092cf271a7c30088a5026020b63286429c,Metazoa,Mollusca,Bivalvia,Veneroida,Psammobiidae,Nuttallia,"Amorphous, Aragonite",Aragonite,genus,undetermined,undetermined,BEN
TR,Nuttallia olivacea,1,300,3bd102092cf271a7c30088a5026020b63286429c,Metazoa,Mollusca,Bivalvia,Veneroida,Psammobiidae,Nuttallia,"Amorphous, Aragonite",Aragonite,genus,undetermined,undetermined,BEN
TW,Nuttallia olivacea,1,300,3bd102092cf271a7c30088a5026020b63286429c,Metazoa,Mollusca,Bivalvia,Veneroida,Psammobiidae,Nuttallia,"Amorphous, Aragonite",Aragonite,genus,undetermined,undetermined,BEN
CP,Pseudochattonella farcimen,1,345,af55f83e8bc1dae6fd7e3d9c3ce94c1930c87b98,Stramenopiles,Ochrophyta,Dictyochophyceae,Florenciellales,NA,Pseudochattonella,NA,NA,NA,undetermined,flagellate,PLK
FH,Pseudochattonella farcimen,1,345,af55f83e8bc1dae6fd7e3d9c3ce94c1930c87b98,Stramenopiles,Ochrophyta,Dictyochophyceae,Florenciellales,NA,Pseudochattonella,NA,NA,NA,undetermined,flagellate,PLK
LK,Pseudochattonella farcimen,1,345,af55f83e8bc1dae6fd7e3d9c3ce94c1930c87b98,Stramenopiles,Ochrophyta,Dictyochophyceae,Florenciellales,NA,Pseudochattonella,NA,NA,NA,undetermined,flagellate,PLK
LL,Pseudochattonella farcimen,1,345,af55f83e8bc1dae6fd7e3d9c3ce94c1930c87b98,Stramenopiles,Ochrophyta,Dictyochophyceae,Florenciellales,NA,Pseudochattonella,NA,NA,NA,undetermined,flagellate,PLK
PO,Pseudochattonella farcimen,1,345,af55f83e8bc1dae6fd7e3d9c3ce94c1930c87b98,Stramenopiles,Ochrophyta,Dictyochophyceae,Florenciellales,NA,Pseudochattonella,NA,NA,NA,undetermined,flagellate,PLK
SA,Pseudochattonella farcimen,1,345,af55f83e8bc1dae6fd7e3d9c3ce94c1930c87b98,Stramenopiles,Ochrophyta,Dictyochophyceae,Florenciellales,NA,Pseudochattonella,NA,NA,NA,undetermined,flagellate,PLK
TR,Pseudochattonella farcimen,1,345,af55f83e8bc1dae6fd7e3d9c3ce94c1930c87b98,Stramenopiles,Ochrophyta,Dictyochophyceae,Florenciellales,NA,Pseudochattonella,NA,NA,NA,undetermined,flagellate,PLK
TW,Pseudochattonella farcimen,1,345,af55f83e8bc1dae6fd7e3d9c3ce94c1930c87b98,Stramenopiles,Ochrophyta,Dictyochophyceae,Florenciellales,NA,Pseudochattonella,NA,NA,NA,undetermined,flagellate,PLK
LL,Pyropia haitanensis,1,128,bb1d8cdcf0e61d15679d93a8a4be5db80379bc83,Rhodophyta,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,No mineralization,No mineralization,genus,1,"algae, red",BEN
SA,Pyropia haitanensis,1,128,bb1d8cdcf0e61d15679d93a8a4be5db80379bc83,Rhodophyta,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,No mineralization,No mineralization,genus,1,"algae, red",BEN
TW,Pyropia haitanensis,1,128,bb1d8cdcf0e61d15679d93a8a4be5db80379bc83,Rhodophyta,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,No mineralization,No mineralization,genus,1,"algae, red",BEN
LL,Ruditapes philippinarum,1,315,4b8d264bec216fd6c88138262b8e42f35fa1bac8,Metazoa,Mollusca,Bivalvia,Veneroida,Veneridae,Ruditapes,undetermined,undetermined,family,undetermined,undetermined,BEN
PO,Ruditapes philippinarum,1,315,4b8d264bec216fd6c88138262b8e42f35fa1bac8,Metazoa,Mollusca,Bivalvia,Veneroida,Veneridae,Ruditapes,undetermined,undetermined,family,undetermined,undetermined,BEN
SA,Ruditapes philippinarum,1,315,4b8d264bec216fd6c88138262b8e42f35fa1bac8,Metazoa,Mollusca,Bivalvia,Veneroida,Veneridae,Ruditapes,undetermined,undetermined,family,undetermined,undetermined,BEN
TR,Ruditapes philippinarum,1,315,4b8d264bec216fd6c88138262b8e42f35fa1bac8,Metazoa,Mollusca,Bivalvia,Veneroida,Veneridae,Ruditapes,undetermined,undetermined,family,undetermined,undetermined,BEN
TW,Ruditapes philippinarum,1,315,4b8d264bec216fd6c88138262b8e42f35fa1bac8,Metazoa,Mollusca,Bivalvia,Veneroida,Veneridae,Ruditapes,undetermined,undetermined,family,undetermined,undetermined,BEN
PO,Stenhelia pubescens,1,386,3a505be3cd83de376c0cdab1ddfe720a8f4ce8bb,Metazoa,Arthropoda,Hexanauplia,Harpacticoida,Miraciidae,Stenhelia,NA,NA,NA,undetermined,copepod,PLK
