sample,bio,tech,species,nReads
CP_201706,B,3,Navicula sp. BOLD:AAO6951,6
CP_201706,B,3,Nicolea zostericola,7
CP_201706,B,3,Phaeocystis antarctica,145
CP_201706,B,3,Phaeocystis globosa,8
CP_201706,B,3,Pseudo-nitzschia hasleana,16
CP_201706,B,3,Ralfsioid sp. 4GWS,4
CP_201706,B,3,Rhizosolenia setigera,413
CP_201706,B,3,Sarcodiotheca sp. 2gaudichaudii,20
CP_201706,B,3,Skeletonema dohrnii,8
CP_201706,B,3,Skeletonema japonicum,16
CP_201706,B,3,Smithora naiadum,46
CP_201706,B,3,Thalassiosira nordenskioeldii,145
CP_201706,B,3,Triparma laevis,5
CP_201706,B,3,Wildemania sp. 5POR,6
CP_201706,B,3,NA,5858
CP_201706,C,1,Asterionellopsis guyunusae,5
CP_201706,C,1,Attheya longicornis,6
CP_201706,C,1,Balanus balanus,2162
CP_201706,C,1,Bathycoccus prasinos,3161
CP_201706,C,1,Blastocladiella emersonii,3
CP_201706,C,1,Chaetoceros socialis,568
CP_201706,C,1,Chaetoceros sp. MBTD-CMFRI-S045,304
CP_201706,C,1,Chordariaceae sp. 7 AP-2014,27
CP_201706,C,1,Chrysochromulina sp. CCMP291,9
CP_201706,C,1,Clytia gracilis,247
CP_201706,C,1,Corallina vancouveriensis,612
CP_201706,C,1,Cylindrotheca closterium,49
CP_201706,C,1,Devaleraea mollis,8
CP_201706,C,1,Ditylum brightwellii,46
CP_201706,C,1,Dodecaceria sp. CMC01,304
CP_201706,C,1,Emiliania huxleyi,5
CP_201706,C,1,Grammonema striatula,597
CP_201706,C,1,Halichondria panicea,6
CP_201706,C,1,Hecatonema maculans,20
CP_201706,C,1,Heterocapsa rotundata,219
CP_201706,C,1,Membranipora membranacea,23
CP_201706,C,1,Micromonas pusilla,1735
CP_201706,C,1,Minutocellus polymorphus,249
CP_201706,C,1,Naineris dendritica CMC02,30
CP_201706,C,1,Navicula cryptocephala,7
CP_201706,C,1,Navicula glaciei,19
CP_201706,C,1,Nereocystis luetkeana,7
CP_201706,C,1,Nicolea zostericola,13
CP_201706,C,1,Nitzschia cf. promare,115
CP_201706,C,1,Notheia anomala,14
CP_201706,C,1,Orthocladius sp. BOLD-2016,821
CP_201706,C,1,Orthopyxis integra,30
CP_201706,C,1,Pedospumella sinomuralis,3
CP_201706,C,1,Phaeocystis antarctica,150
CP_201706,C,1,Platynereis bicanaliculata,139
CP_201706,C,1,Polysiphonia hendryi,34
CP_201706,C,1,Pseudo-nitzschia delicatissima,18
CP_201706,C,1,Pseudo-nitzschia hasleana,8
CP_201706,C,1,Pythium pachycaule,10
CP_201706,C,1,Rhizosolenia setigera,2148
CP_201706,C,1,Scopalina ruetzleri,65
CP_201706,C,1,Semibalanus cariosus,18
CP_201706,C,1,Skeletonema japonicum,35
CP_201706,C,1,Smithora naiadum,278
CP_201706,C,1,Synchaeta pectinata,16
CP_201706,C,1,Thalassionema nitzschioides,8
CP_201706,C,1,Thecamonas trahens,5
CP_201706,C,1,NA,34537
CP_201706,C,2,Balanus balanus,2444
CP_201706,C,2,Bathycoccus prasinos,4152
CP_201706,C,2,Chaetoceros socialis,15
CP_201706,C,2,Chaetoceros sp. MBTD-CMFRI-S045,70
CP_201706,C,2,Ditylum brightwellii,15
CP_201706,C,2,Grammonema striatula,271
CP_201706,C,2,Hematodinium sp.,25
CP_201706,C,2,Heterocapsa rotundata,124
CP_201706,C,2,Micromonas pusilla,951
CP_201706,C,2,Minutocellus polymorphus,160
CP_201706,C,2,Nereocystis luetkeana,32
CP_201706,C,2,Nicolea zostericola,76
CP_201706,C,2,Orthocladius sp. BOLD-2016,172
CP_201706,C,2,Platynereis bicanaliculata,3286
CP_201706,C,2,Pseudo-nitzschia delicatissima,60
CP_201706,C,2,Pyropia fallax,26
CP_201706,C,2,Rhizosolenia setigera,3506
CP_201706,C,2,Rhodomonas salina,8
CP_201706,C,2,Smithora naiadum,568
CP_201706,C,2,Thecamonas trahens,368
CP_201706,C,2,Thelepus crispus,181
CP_201706,C,2,Wildemania sp. 5POR,173
CP_201706,C,2,NA,41369
CP_201707,A,1,Balanus balanus,313
CP_201707,A,1,Bathycoccus prasinos,1
CP_201707,A,1,Centropages abdominalis,184
CP_201707,A,1,Chaetoceros socialis,11
CP_201707,A,1,Chaetoceros sp. MBTD-CMFRI-S045,6
CP_201707,A,1,Chattonella subsalsa,8
CP_201707,A,1,Chrysonoma sp. ANIC15,6
CP_201707,A,1,Clytia gracilis,46
CP_201707,A,1,Corallina vancouveriensis,28
CP_201707,A,1,Coscinodiscus wailesii,250
CP_201707,A,1,Lacuna vincta,474
CP_201707,A,1,Membranipora membranacea,14
CP_201707,A,1,Micromonas pusilla,6
CP_201707,A,1,Minutocellus polymorphus,43
CP_201707,A,1,Nicolea zostericola,27
CP_201707,A,1,Orthopyxis integra,2046
CP_201707,A,1,Pseudocalanus newmani,71
CP_201707,A,1,Pythium tracheiphilum,34
CP_201707,A,1,Rhizosolenia setigera,176
CP_201707,A,1,Smithora naiadum,124
CP_201707,A,1,Stephanopyxis turris,10
CP_201707,A,1,Thalassiosira nordenskioeldii,22
CP_201707,A,1,Thelepus sp. CMC01,1150
CP_201707,A,1,NA,5126
CP_201707,A,2,Acartia longiremis,3
CP_201707,A,2,Balanus balanus,532
CP_201707,A,2,Centropages abdominalis,152
CP_201707,A,2,Chaetoceros socialis,11
CP_201707,A,2,Chaetoceros sp. MBTD-CMFRI-S045,57
CP_201707,A,2,Chattonella subsalsa,28
CP_201707,A,2,Clytia gracilis,23
CP_201707,A,2,Coscinodiscus wailesii,312
CP_201707,A,2,Dictyocha speculum,5
CP_201707,A,2,Enophrys bison,3
CP_201707,A,2,Euclymene oerstedi,293
CP_201707,A,2,Grammonema striatula,54
CP_201707,A,2,Lacuna vincta,581
CP_201707,A,2,Membranipora membranacea,3
CP_201707,A,2,Micromonas pusilla,21
CP_201707,A,2,Minutocellus polymorphus,252
CP_201707,A,2,Nereocystis luetkeana,9
CP_201707,A,2,Nicolea zostericola,58
CP_201707,A,2,Nitzschia cf. promare,3
CP_201707,A,2,Orthopyxis integra,3435
CP_201707,A,2,Pseudocalanus newmani,26
CP_201707,A,2,Pythium tracheiphilum,37
CP_201707,A,2,Rhizosolenia setigera,338
CP_201707,A,2,Smithora naiadum,116
CP_201707,A,2,Thalassionema nitzschioides,2
CP_201707,A,2,Thalassiosira nordenskioeldii,27
CP_201707,A,2,Thelepus sp. CMC01,1213
CP_201707,A,2,Wildemania sp. 5POR,3
CP_201707,A,2,NA,6564
CP_201707,A,3,Asterionellopsis glacialis,5
CP_201707,A,3,Asterionellopsis tropicalis,2
CP_201707,A,3,Balanus balanus,2388
CP_201707,A,3,Bathycoccus prasinos,115
CP_201707,A,3,Blastocladiella emersonii,18
CP_201707,A,3,Centropages abdominalis,1202
CP_201707,A,3,Chaetoceros socialis,54
CP_201707,A,3,Chaetoceros sp. MBTD-CMFRI-S045,166
CP_201707,A,3,Chattonella subsalsa,61
CP_201707,A,3,Clytia gracilis,164
CP_201707,A,3,Coscinodiscus wailesii,1679
CP_201707,A,3,Cylindrotheca closterium,36
CP_201707,A,3,Ditylum brightwellii,45
CP_201707,A,3,Egregia menziesii,35
CP_201707,A,3,Euclymene oerstedi,960
CP_201707,A,3,Grammonema striatula,30
CP_201707,A,3,Halichondria panicea,14
CP_201707,A,3,Hecatonema maculans,66
CP_201707,A,3,Heterocapsa rotundata,28
CP_201707,A,3,Lacuna vincta,2468
CP_201707,A,3,Laminariocolax aecidioides,25
CP_201707,A,3,Leathesia marina,189
CP_201707,A,3,Membranipora membranacea,24
CP_201707,A,3,Micromonas pusilla,254
CP_201707,A,3,Minutocellus polymorphus,45
CP_201707,A,3,Nereocystis luetkeana,112
CP_201707,A,3,Nicolea zostericola,485
CP_201707,A,3,Orthopyxis integra,8259
CP_201707,A,3,Paracalanus sp. C AC-2013,17
CP_201707,A,3,Phaeocystis globosa,12
CP_201707,A,3,Poteriospumella lacustris,47
CP_201707,A,3,Protoperidinium cf. depressum,75
CP_201707,A,3,Pseudocalanus newmani,67
CP_201707,A,3,Pyropia fallax,4
CP_201707,A,3,Pythium tracheiphilum,192
CP_201707,A,3,Rhizosolenia setigera,827
CP_201707,A,3,Smithora naiadum,1968
CP_201707,A,3,Stephanopyxis turris,73
CP_201707,A,3,Thalassiosira nordenskioeldii,204
CP_201707,A,3,Thecamonas trahens,2
CP_201707,A,3,Thelepus sp. CMC01,3990
CP_201707,A,3,Tresus capax,211
CP_201707,A,3,Triparma laevis,3
CP_201707,A,3,NA,24617
CP_201707,B,1,Acartia longiremis,801
CP_201707,B,1,Acrochaetium arcuatum,21
CP_201707,B,1,Centropages abdominalis,486
CP_201707,B,1,Chaetoceros socialis,31
CP_201707,B,1,Clytia gracilis,30
CP_201707,B,1,Coscinodiscus wailesii,837
CP_201707,B,1,Cylindrotheca closterium,9
CP_201707,B,1,Ditylum brightwellii,7
CP_201707,B,1,Lacuna vincta,90
CP_201707,B,1,Micromonas pusilla,51
CP_201707,B,1,Neorhodomela oregona,8
CP_201707,B,1,Nereocystis luetkeana,5
CP_201707,B,1,Orthopyxis integra,39
CP_201707,B,1,Protoperidinium cf. depressum,13
CP_201707,B,1,Pseudocalanus newmani,482
CP_201707,B,1,Pythium tracheiphilum,44
CP_201707,B,1,Rhizosolenia setigera,203
CP_201707,B,1,Skeletonema dohrnii,157
CP_201707,B,1,Smithora naiadum,21
CP_201707,B,1,Thalassiosira nordenskioeldii,103
CP_201707,B,1,Thelepus sp. CMC01,102
CP_201707,B,1,NA,6137
CP_201707,B,2,Acartia longiremis,9230
CP_201707,B,2,Asterionellopsis tropicalis,2
CP_201707,B,2,Attheya longicornis,25
CP_201707,B,2,Azumapecten farreri,26
CP_201707,B,2,Bathycoccus prasinos,5
CP_201707,B,2,Centropages abdominalis,4570
CP_201707,B,2,Clytia gracilis,4
CP_201707,B,2,Coscinodiscus wailesii,4507
CP_201707,B,2,Cylindrotheca closterium,62
CP_201707,B,2,Dictyocha speculum,58
CP_201707,B,2,Ditylum brightwellii,32
CP_201707,B,2,Egregia menziesii,43
CP_201707,B,2,Euclymene oerstedi,126
CP_201707,B,2,Grammonema striatula,20
CP_201707,B,2,Hecatonema maculans,43
CP_201707,B,2,Lacuna vincta,351
CP_201707,B,2,Micromonas pusilla,858
CP_201707,B,2,Minutocellus polymorphus,1732
CP_201707,B,2,Nereocystis luetkeana,68
CP_201707,B,2,Orthopyxis integra,53
CP_201707,B,2,Phaeocystis antarctica,681
CP_201707,B,2,Phaeocystis globosa,6
CP_201707,B,2,Platichthys stellatus,668
CP_201707,B,2,Platynereis bicanaliculata,153
CP_201707,B,2,Protoperidinium cf. depressum,271
CP_201707,B,2,Pseudo-nitzschia hasleana,23
CP_201707,B,2,Pseudocalanus newmani,3154
CP_201707,B,2,Pythium pachycaule,19
CP_201707,B,2,Pythium tracheiphilum,152
CP_201707,B,2,Rhizosolenia setigera,444
CP_201707,B,2,Smithora naiadum,176
CP_201707,B,2,Stephanopyxis turris,5
CP_201707,B,2,Thalassiosira nordenskioeldii,725
CP_201707,B,2,NA,36398
CP_201707,B,3,Acartia longiremis,736
CP_201707,B,3,Acrochaetium arcuatum,93
CP_201707,B,3,Bathycoccus prasinos,42
CP_201707,B,3,Chaetoceros socialis,14
CP_201707,B,3,Chaetoceros sp. MBTD-CMFRI-S062,32
CP_201707,B,3,Chattonella subsalsa,30
CP_201707,B,3,Clytia gracilis,257
CP_201707,B,3,Coscinodiscus wailesii,944
CP_201707,B,3,Cylindrotheca closterium,23
CP_201707,B,3,Dictyocha speculum,27
CP_201707,B,3,Ditylum brightwellii,26
CP_201707,B,3,Dodecaceria sp. CMC01,23
CP_201707,B,3,Dolichomastix tenuilepis,38
CP_201707,B,3,Egregia menziesii,8
CP_201707,B,3,Grammonema striatula,47
CP_201707,B,3,Hecatonema maculans,7
CP_201707,B,3,Laminariocolax aecidioides,8
CP_201707,B,3,Membranipora membranacea,7
CP_201707,B,3,Micromonas pusilla,157
CP_201707,B,3,Minutocellus polymorphus,62
CP_201707,B,3,Nereocystis luetkeana,8
CP_201707,B,3,Phaeocystis antarctica,38
CP_201707,B,3,Phaeocystis globosa,6
CP_201707,B,3,Poteriospumella lacustris,11
CP_201707,B,3,Protoperidinium cf. depressum,101
CP_201707,B,3,Pseudo-nitzschia hasleana,7
CP_201707,B,3,Pseudocalanus newmani,230
CP_201707,B,3,Pseudochattonella farcimen,100
CP_201707,B,3,Pythium pachycaule,7
CP_201707,B,3,Rhizosolenia setigera,632
CP_201707,B,3,Skeletonema cf. pseudocostatum,10
CP_201707,B,3,Smithora naiadum,87
CP_201707,B,3,Thalassiosira nordenskioeldii,59
CP_201707,B,3,Thelepus sp. CMC01,131
CP_201707,B,3,NA,9000
CP_201707,C,1,Aequorea sp. MW-2012,31
CP_201707,C,1,Balanus balanus,326
CP_201707,C,1,Bathycoccus prasinos,26
CP_201707,C,1,Chaetoceros socialis,122
CP_201707,C,1,Chaetoceros sp. MBTD-CMFRI-S045,38
CP_201707,C,1,Chattonella subsalsa,594
CP_201707,C,1,Clytia gracilis,331
CP_201707,C,1,Corallina vancouveriensis,107
CP_201707,C,1,Coscinodiscus wailesii,2400
CP_201707,C,1,Cylindrotheca closterium,130
CP_201707,C,1,Dictyocha speculum,527
CP_201707,C,1,Ditylum brightwellii,6
CP_201707,C,1,Egregia menziesii,12
CP_201707,C,1,Enophrys bison,420
CP_201707,C,1,Eucampia zodiacus,8
CP_201707,C,1,Grammonema striatula,20
CP_201707,C,1,Hecatonema maculans,37
CP_201707,C,1,Heterocapsa rotundata,17
CP_201707,C,1,Lacuna vincta,647
CP_201707,C,1,Laminariocolax aecidioides,19
CP_201707,C,1,Mazzaella splendens,21
CP_201707,C,1,Membranipora membranacea,268
CP_201707,C,1,Micromonas pusilla,754
CP_201707,C,1,Nereocystis luetkeana,330
CP_201707,C,1,Nitzschia cf. promare,213
CP_201707,C,1,Orthopyxis integra,4077
CP_201707,C,1,Paracalanus sp. C AC-2013,9
CP_201707,C,1,Paramoeba pemaquidensis,233
CP_201707,C,1,Phaeocystis antarctica,392
CP_201707,C,1,Phaeocystis globosa,27
CP_201707,C,1,Poteriospumella lacustris,17
CP_201707,C,1,Protoperidinium cf. depressum,55
CP_201707,C,1,Pseudocalanus newmani,2287
CP_201707,C,1,Pyropia nereocystis,5
CP_201707,C,1,Pythium pachycaule,34
CP_201707,C,1,Pythium tracheiphilum,1102
CP_201707,C,1,Rhizosolenia setigera,945
CP_201707,C,1,Skeletonema japonicum,63
CP_201707,C,1,Smithora naiadum,469
CP_201707,C,1,Thalassiosira nordenskioeldii,383
CP_201707,C,1,Thecamonas trahens,38
CP_201707,C,1,Thelepus sp. CMC01,1870
CP_201707,C,1,Triparma laevis,507
CP_201707,C,1,NA,44939
CP_201707,C,2,Ammodytes hexapterus,1799
CP_201707,C,2,Attheya longicornis,97
CP_201707,C,2,Balanus balanus,2481
CP_201707,C,2,Chaetoceros socialis,693
CP_201707,C,2,Chaetoceros sp. MBTD-CMFRI-S045,9
CP_201707,C,2,Chattonella subsalsa,465
CP_201707,C,2,Chondracanthus exasperatus,31
CP_201707,C,2,Chrysochromulina sp. CCMP291,449
CP_201707,C,2,Cliona chilensis,140
CP_201707,C,2,Clytia gracilis,227
CP_201707,C,2,Coscinodiscus wailesii,1871
CP_201707,C,2,Cylindrotheca closterium,29
CP_201707,C,2,Ditylum brightwellii,596
CP_201707,C,2,Egregia menziesii,7
CP_201707,C,2,Grammonema striatula,29
CP_201707,C,2,Hecatonema maculans,18
CP_201707,C,2,Lacuna vincta,609
CP_201707,C,2,Micromonas pusilla,557
CP_201707,C,2,Minutocellus polymorphus,2517
CP_201707,C,2,Naineris dendritica CMC02,200
CP_201707,C,2,Nereocystis luetkeana,289
CP_201707,C,2,Nitzschia cf. promare,76
CP_201707,C,2,Orthopyxis integra,130
CP_201707,C,2,Paracalanus sp. C AC-2013,14
CP_201707,C,2,Phaeocystis globosa,56
CP_201707,C,2,Platichthys stellatus,372
CP_201707,C,2,Poteriospumella lacustris,18
CP_201707,C,2,Protoperidinium cf. depressum,129
CP_201707,C,2,Pseudocalanus newmani,3023
CP_201707,C,2,Pythium tracheiphilum,866
CP_201707,C,2,Rhizosolenia setigera,888
CP_201707,C,2,Smithora naiadum,954
CP_201707,C,2,Thelepus sp. CMC01,89
CP_201707,C,2,Wildemania amplissima,18
CP_201707,C,2,Wildemania sp. 5POR,212
CP_201707,C,2,NA,49827
CP_201708,A,1,Acartia longiremis,257
CP_201708,A,1,Arca avellana,12
CP_201708,A,1,Bathycoccus prasinos,153
CP_201708,A,1,Chaetoceros socialis,120
CP_201708,A,1,Chaetoceros sp. MBTD-CMFRI-S062,271
CP_201708,A,1,Chattonella subsalsa,8
CP_201708,A,1,Coscinodiscus wailesii,15
CP_201708,A,1,Dictyocha speculum,93
CP_201708,A,1,Heterocapsa rotundata,15
CP_201708,A,1,Macoma nasuta,99
CP_201708,A,1,Micromonas pusilla,412
CP_201708,A,1,Minutocellus polymorphus,723
CP_201708,A,1,Paracalanus sp. C AC-2013,5
CP_201708,A,1,Phaeocystis antarctica,999
CP_201708,A,1,Phaeocystis globosa,4
CP_201708,A,1,Pseudo-nitzschia hasleana,41
CP_201708,A,1,Pseudocalanus newmani,783
CP_201708,A,1,Pseudochattonella farcimen,7
CP_201708,A,1,Pythium tracheiphilum,27
CP_201708,A,1,Rhizosolenia setigera,175
CP_201708,A,1,Saxidomus gigantea,5
CP_201708,A,1,Sellaphora bacillum,26
CP_201708,A,1,Thalassiosira nordenskioeldii,667
CP_201708,A,1,NA,9417
CP_201708,A,2,Acartia longiremis,873
CP_201708,A,2,Aequorea sp. MW-2012,16
CP_201708,A,2,Arca avellana,10
CP_201708,A,2,Asterionellopsis glacialis,25
CP_201708,A,2,Attheya longicornis,55
CP_201708,A,2,Bathycoccus prasinos,539
CP_201708,A,2,Blastocladiella emersonii,8
CP_201708,A,2,Brachionidae sp. SHYT150702c,19
CP_201708,A,2,Calanus pacificus,28
CP_201708,A,2,Chaetoceros socialis,213
CP_201708,A,2,Chaetoceros sp. MBTD-CMFRI-S062,1685
CP_201708,A,2,Chattonella subsalsa,17
CP_201708,A,2,Chrysochromulina sp. CCMP291,9
CP_201708,A,2,Coryne eximia,55
CP_201708,A,2,Coscinodiscus wailesii,3
CP_201708,A,2,Cylindrotheca closterium,4
CP_201708,A,2,Dictyocha speculum,340
CP_201708,A,2,Eucampia zodiacus,8
CP_201708,A,2,Macoma nasuta,387
CP_201708,A,2,Mazzaella splendens,40
CP_201708,A,2,Micromonas pusilla,1687
CP_201708,A,2,Minutocellus polymorphus,1688
CP_201708,A,2,Paracalanus sp. C AC-2013,47
CP_201708,A,2,Phaeocystis antarctica,3701
CP_201708,A,2,Phaeocystis globosa,42
CP_201708,A,2,Pseudo-nitzschia hasleana,139
CP_201708,A,2,Pseudocalanus newmani,945
CP_201708,A,2,Pythium tracheiphilum,249
CP_201708,A,2,Rhizosolenia setigera,304
CP_201708,A,2,Saxidomus gigantea,19
CP_201708,A,2,Sellaphora bacillum,115
CP_201708,A,2,Skeletonema dohrnii,36
CP_201708,A,2,Thalassiosira nordenskioeldii,1950
CP_201708,A,2,Triparma laevis,71
CP_201708,A,2,NA,33841
CP_201708,A,3,Acartia longiremis,99
CP_201708,A,3,Aequorea sp. MW-2012,1
CP_201708,A,3,Attheya longicornis,10
CP_201708,A,3,Bathycoccus prasinos,150
CP_201708,A,3,Chaetoceros socialis,70
CP_201708,A,3,Chaetoceros sp. MBTD-CMFRI-S062,589
CP_201708,A,3,Chattonella subsalsa,32
